"Team1","Team2","Player1","Player2","Player3","Player4","Salary","Proj","Value"
"ARI","PHI","Daulton Varsho","Sergio Alcantara","Bryce Harper","J.T. Realmuto",17800,46.6,2.6
"PHI","SF","Bryce Harper","Rhys Hoskins","Brandon Belt","Steven Duggar",19400,46.5,2.4
"PHI","WSH","Bryce Harper","J.T. Realmuto","Cesar Hernandez","Maikel Franco",18600,46.5,2.5
"COL","PHI","C.J. Cron","Randal Grichuk","Bryce Harper","J.T. Realmuto",19300,46.5,2.4
"MIL","PHI","Hunter Renfroe","Rowdy Tellez","Bryce Harper","J.T. Realmuto",19100,46.5,2.4
"OAK","PHI","Billy McKinney","Jed Lowrie","Bryce Harper","J.T. Realmuto",18100,46.5,2.6
"COL","PHI","Brendan Rodgers","Kris Bryant","Bryce Harper","J.T. Realmuto",19800,46.5,2.3
"PHI","TB","Bryce Harper","J.T. Realmuto","Josh Lowe","Wander Franco",19900,46.5,2.3
"PHI","SD","Bryce Harper","J.T. Realmuto","Ha-Seong Kim","Manny Machado",19300,46.5,2.4
"PHI","SD","Bryce Harper","J.T. Realmuto","Trent Grisham","Wil Myers",18800,46.5,2.5
"PHI","SD","Bryce Harper","J.T. Realmuto","Jake Cronenworth","Trent Grisham",19900,46.5,2.3
"PHI","SD","Bryce Harper","J.T. Realmuto","Luke Voit","Trent Grisham",19000,46.4,2.4
"PHI","SF","Bryce Harper","J.T. Realmuto","Darin Ruf","Joc Pederson",18400,46.4,2.5
"LAD","PHI","Edwin Rios","Trea Turner","Bryce Harper","J.T. Realmuto",19700,46.4,2.4
"OAK","PHI","Billy McKinney","Tony Kemp","Bryce Harper","Nick Castellanos",18400,46.4,2.5
"ARI","PHI","Christian Walker","Seth Beer","Bryce Harper","J.T. Realmuto",18400,46.4,2.5
"ARI","PHI","David Peralta","Ketel Marte","Bryce Harper","Jean Segura",19700,46.4,2.4
"ARI","PHI","Daulton Varsho","Seth Beer","Bryce Harper","Rhys Hoskins",18600,46.4,2.5
"PHI","WSH","Bryce Harper","Nick Castellanos","Cesar Hernandez","Lane Thomas",19200,46.4,2.4
"LAD","PHI","Cody Bellinger","Freddie Freeman","Bryce Harper","J.T. Realmuto",19900,46.4,2.3
"ARI","PHI","Daulton Varsho","Ketel Marte","J.T. Realmuto","Kyle Schwarber",19900,46.4,2.3
"OAK","PHI","Elvis Andrus","Jed Lowrie","Bryce Harper","J.T. Realmuto",18800,46.4,2.5
"OAK","PHI","Chad Pinder","Tony Kemp","Bryce Harper","J.T. Realmuto",18300,46.3,2.5
"LAD","PHI","Edwin Rios","Will Smith","Bryce Harper","J.T. Realmuto",18000,46.3,2.6
"LAA","PHI","Jared Walsh","Jose Rojas","Bryce Harper","J.T. Realmuto",18900,46.3,2.5
"PHI","WSH","Bryce Harper","Nick Castellanos","Nelson Cruz","Victor Robles",19700,46.3,2.4
"OAK","PHI","Billy McKinney","Sean Murphy","Bryce Harper","Nick Castellanos",19600,46.3,2.4
"OAK","PHI","Billy McKinney","Seth Brown","Bryce Harper","Nick Castellanos",18200,46.3,2.5
"ARI","PHI","Christian Walker","Daulton Varsho","Bryce Harper","Rhys Hoskins",18400,46.3,2.5
"PHI","SF","Bryce Harper","J.T. Realmuto","Mike Yastrzemski","Steven Duggar",18800,46.3,2.5
"PHI","WSH","Bryce Harper","J.T. Realmuto","Cesar Hernandez","Keibert Ruiz",19400,46.3,2.4
"ARI","PHI","Daulton Varsho","Geraldo Perdomo","Bryce Harper","J.T. Realmuto",18900,46.3,2.4
"MIL","PHI","Hunter Renfroe","Lorenzo Cain","Bryce Harper","J.T. Realmuto",19500,46.3,2.4
"PHI","SF","Bryce Harper","Rhys Hoskins","Brandon Belt","Joey Bart",19600,46.3,2.4
"LAD","PHI","Edwin Rios","Mookie Betts","Bryce Harper","J.T. Realmuto",19200,46.3,2.4
"OAK","PHI","Elvis Andrus","Tony Kemp","Bryce Harper","Nick Castellanos",19100,46.3,2.4
"PHI","TB","Bryce Harper","J.T. Realmuto","Ji-Man Choi","Kevin Kiermaier",18600,46.2,2.5
"PHI","WSH","J.T. Realmuto","Nick Castellanos","Lane Thomas","Nelson Cruz",19400,46.2,2.4
"LAA","PHI","Andrew Velazquez","Shohei Ohtani","Bryce Harper","J.T. Realmuto",19700,46.2,2.3
"OAK","PHI","Jed Lowrie","Tony Kemp","Bryce Harper","Rhys Hoskins",18900,46.2,2.4
"COL","PHI","Charlie Blackmon","Connor Joe","Bryce Harper","J.T. Realmuto",19700,46.2,2.3
"OAK","PHI","Seth Brown","Tony Kemp","Bryce Harper","Kyle Schwarber",18600,46.2,2.5
