"Team1","Team2","Player1","Player2","Player3","Player4","Salary","Proj","Value"
"CHC","PHI","Ian Happ","Michael Hermosillo","J.T. Realmuto","Kyle Schwarber",17900,39.3,2.2
"CIN","PHI","Joey Votto","Tommy Pham","Bryce Harper","Matt Vierling",15300,39.3,2.6
"CIN","PHI","Donovan Solano","Jonathan India","Bryce Harper","Nick Castellanos",18600,39.3,2.1
"COL","PHI","Randal Grichuk","Sam Hilliard","J.T. Realmuto","Rhys Hoskins",16800,39.3,2.3
"HOU","PHI","Martin Maldonado","Michael Brantley","J.T. Realmuto","Kyle Schwarber",17400,39.3,2.3
"LAD","PHI","Freddie Freeman","Mookie Betts","Kyle Schwarber","Matt Vierling",18400,39.3,2.1
"LAD","PHI","Cody Bellinger","Trea Turner","Matt Vierling","Nick Castellanos",17600,39.3,2.2
"MIL","PHI","Jace Peterson","Omar Narvaez","J.T. Realmuto","Kyle Schwarber",17400,39.3,2.3
"MIL","PHI","Mike Brosseau","Willy Adames","Bryce Harper","Nick Castellanos",19900,39.3,2
"OAK","PHI","Jed Lowrie","Sean Murphy","Matt Vierling","Rhys Hoskins",16600,39.3,2.4
"OAK","PHI","Jed Lowrie","Seth Brown","Matt Vierling","Rhys Hoskins",15200,39.3,2.6
"PHI","WSH","Bryce Harper","Kyle Schwarber","Lane Thomas","Yadiel Hernandez",17500,39.3,2.2
"PHI","PIT","J.T. Realmuto","Rhys Hoskins","Michael Chavis","Roberto Perez",17400,39.3,2.3
"PHI","PIT","Kyle Schwarber","Nick Castellanos","Diego Castillo","Michael Chavis",17000,39.3,2.3
"PHI","SD","Kyle Schwarber","Nick Castellanos","Ha-Seong Kim","Jorge Alfaro",18000,39.3,2.2
"PHI","WSH","Kyle Schwarber","Rhys Hoskins","Alcides Escobar","Keibert Ruiz",19000,39.3,2.1
"PHI","SD","J.T. Realmuto","Matt Vierling","Jake Cronenworth","Luke Voit",15800,39.3,2.5
"ARI","OAK","Daulton Varsho","Ketel Marte","Sean Murphy","Seth Brown",17100,39.2,2.3
"ARI","PHI","Daulton Varsho","Ketel Marte","Bryson Stott","J.T. Realmuto",18700,39.2,2.1
"ARI","PHI","Daulton Varsho","Ketel Marte","Garrett Stubbs","J.T. Realmuto",17300,39.2,2.3
"ARI","PHI","Geraldo Perdomo","Sergio Alcantara","Bryce Harper","Didi Gregorius",16900,39.2,2.3
"ATL","PHI","Adam Duvall","Marcell Ozuna","Jean Segura","Kyle Schwarber",17600,39.2,2.2
"BAL","PHI","Cedric Mullins","Jorge Mateo","Kyle Schwarber","Rhys Hoskins",18200,39.2,2.2
"BAL","PHI","Austin Hays","Jorge Mateo","Bryce Harper","Didi Gregorius",16900,39.2,2.3
"CHC","PHI","Ian Happ","Nick Madrigal","Jean Segura","Nick Castellanos",18200,39.2,2.2
"CHC","PHI","Michael Hermosillo","Nick Madrigal","Bryce Harper","Didi Gregorius",17800,39.2,2.2
"CHC","PHI","Patrick Wisdom","Rafael Ortega","Bryce Harper","Jean Segura",19300,39.2,2
"CIN","PHI","Aristides Aquino","Brandon Drury","J.T. Realmuto","Kyle Schwarber",15100,39.2,2.6
"CIN","PHI","Tommy Pham","Tyler Naquin","J.T. Realmuto","Rhys Hoskins",16600,39.2,2.4
"COL","PHI","Kris Bryant","Randal Grichuk","Matt Vierling","Nick Castellanos",16000,39.2,2.5
"COL","PHI","Elias Diaz","Kris Bryant","Bryce Harper","Johan Camargo",16700,39.2,2.4
"HOU","PHI","Jose Altuve","Martin Maldonado","J.T. Realmuto","Kyle Schwarber",18900,39.2,2.1
"LAA","PHI","Jared Walsh","Jo Adell","Jean Segura","Rhys Hoskins",17900,39.2,2.2
"LAA","PHI","Anthony Rendon","Jose Rojas","Kyle Schwarber","Rhys Hoskins",17800,39.2,2.2
"LAA","PHI","Andrew Velazquez","Brandon Marsh","J.T. Realmuto","Kyle Schwarber",16400,39.2,2.4
"LAA","PHI","Taylor Ward","Tyler Wade","J.T. Realmuto","Rhys Hoskins",17400,39.2,2.3
"LAD","PHI","Cody Bellinger","Trea Turner","Didi Gregorius","Rhys Hoskins",19100,39.2,2.1
"LAD","PHI","Chris Taylor","Max Muncy","Bryce Harper","Didi Gregorius",19900,39.2,2
"MIL","PHI","Christian Yelich","Hunter Renfroe","Didi Gregorius","Kyle Schwarber",19400,39.2,2
"MIL","PHI","Jace Peterson","Kolten Wong","Kyle Schwarber","Rhys Hoskins",17900,39.2,2.2
"MIL","PHI","Omar Narvaez","Rowdy Tellez","Jean Segura","Nick Castellanos",16500,39.2,2.4
"MIL","PHI","Lorenzo Cain","Mike Brosseau","Bryce Harper","J.T. Realmuto",18100,39.2,2.2
"NYM","PHI","Pete Alonso","Starling Marte","Matt Vierling","Rhys Hoskins",19400,39.2,2
"NYM","PHI","Francisco Lindor","Robinson Cano","Bryce Harper","Johan Camargo",18100,39.2,2.2
"NYM","PHI","Francisco Lindor","Travis Jankowski","Kyle Schwarber","Rhys Hoskins",19200,39.2,2
"NYM","PHI","Starling Marte","Tomas Nido","Bryce Harper","Jean Segura",19300,39.2,2
"OAK","SF","Sean Murphy","Seth Brown","Brandon Belt","Mike Yastrzemski",17600,39.2,2.2
"OAK","PHI","Billy McKinney","Elvis Andrus","Bryce Harper","Johan Camargo",14700,39.2,2.7
"PHI","WSH","Bryce Harper","Kyle Schwarber","Cesar Hernandez","Riley Adams",17800,39.2,2.2
"PHI","WSH","Bryce Harper","Jean Segura","Cesar Hernandez","Yadiel Hernandez",17200,39.2,2.3
"PHI","TB","Bryce Harper","Didi Gregorius","Francisco Mejia","Wander Franco",19600,39.2,2
"PHI","TB","Jean Segura","Nick Castellanos","Kevin Kiermaier","Taylor Walls",16200,39.2,2.4
"PHI","SD","Kyle Schwarber","Rhys Hoskins","Jorge Alfaro","Trent Grisham",18500,39.2,2.1
"PHI","TB","Jean Segura","Kyle Schwarber","Kevin Kiermaier","Mike Zunino",17600,39.2,2.2
"PHI","SD","Didi Gregorius","Nick Castellanos","Ha-Seong Kim","Trent Grisham",17500,39.2,2.2
"PHI","SF","J.T. Realmuto","Johan Camargo","Joc Pederson","Mike Yastrzemski",15900,39.2,2.5
"PHI","SF","Bryson Stott","J.T. Realmuto","Brandon Belt","Mike Yastrzemski",19200,39.2,2
"PHI","SF","Garrett Stubbs","J.T. Realmuto","Brandon Belt","Mike Yastrzemski",17800,39.2,2.2
"ARI","WSH","Daulton Varsho","David Peralta","Juan Soto","Nelson Cruz",18200,39.2,2.2
"ARI","WSH","Ketel Marte","Pavin Smith","Juan Soto","Nelson Cruz",19200,39.2,2
"ARI","PHI","Carson Kelly","Daulton Varsho","Matt Vierling","Nick Castellanos",16000,39.2,2.5
"ARI","PHI","David Peralta","Geraldo Perdomo","Jean Segura","Rhys Hoskins",17100,39.2,2.3
"ARI","PHI","Cooper Hummel","Pavin Smith","Bryce Harper","Nick Castellanos",18500,39.2,2.1
"ARI","PHI","Jake McCarthy","Pavin Smith","Bryce Harper","Nick Castellanos",18100,39.2,2.2
"ARI","PHI","Jose Herrera","Pavin Smith","Bryce Harper","Nick Castellanos",17400,39.2,2.3
"ATL","PHI","Manny Pina","Travis d'Arnaud","J.T. Realmuto","Nick Castellanos",17300,39.2,2.3
"BAL","PHI","Ramon Urias","Rougned Odor","Nick Castellanos","Rhys Hoskins",17900,39.2,2.2
"CHC","PHI","Ian Happ","Jason Heyward","Bryce Harper","Rhys Hoskins",18800,39.2,2.1
"COL","PHI","Kris Bryant","Randal Grichuk","Didi Gregorius","Rhys Hoskins",17500,39.2,2.2
"LAA","PHI","Jo Adell","Jose Rojas","Kyle Schwarber","Nick Castellanos",17900,39.2,2.2
"LAD","PHI","Gavin Lux","Justin Turner","Jean Segura","Nick Castellanos",17700,39.2,2.2
"MIL","PHI","Christian Yelich","Lorenzo Cain","Didi Gregorius","Nick Castellanos",18700,39.2,2.1
"MIL","PHI","Tyrone Taylor","Willy Adames","J.T. Realmuto","Kyle Schwarber",18900,39.2,2.1
"NYM","PHI","Dominic Smith","Eduardo Escobar","Kyle Schwarber","Nick Castellanos",18700,39.2,2.1
"NYM","PHI","Robinson Cano","Travis Jankowski","Nick Castellanos","Rhys Hoskins",17700,39.2,2.2
"OAK","SF","Sean Murphy","Tony Kemp","Brandon Belt","Brandon Crawford",18800,39.2,2.1
"OAK","SF","Seth Brown","Tony Kemp","Brandon Belt","Brandon Crawford",17400,39.2,2.3
"OAK","PHI","Sean Murphy","Seth Brown","Kyle Schwarber","Matt Vierling",16300,39.2,2.4
"OAK","PHI","Billy McKinney","Chad Pinder","Jean Segura","Rhys Hoskins",15400,39.2,2.5
"PHI","SF","Nick Castellanos","Rhys Hoskins","Austin Slater","Brandon Belt",19600,39.2,2
"PHI","TB","Nick Castellanos","Rhys Hoskins","Francisco Mejia","Ji-Man Choi",18600,39.2,2.1
"PHI","SF","Jean Segura","Kyle Schwarber","Joc Pederson","Thairo Estrada",17300,39.2,2.3
"PHI","SF","Didi Gregorius","Nick Castellanos","Brandon Crawford","Joey Bart",19000,39.2,2.1
"PHI","WSH","Didi Gregorius","Nick Castellanos","Josh Bell","Keibert Ruiz",19300,39.2,2
"PHI","WSH","Johan Camargo","Nick Castellanos","Josh Bell","Juan Soto",19600,39.2,2
"SF","TB","Brandon Belt","Brandon Crawford","Brandon Lowe","Kevin Kiermaier",19000,39.2,2.1
"CHC","PHI","Jason Heyward","Nick Madrigal","Bryce Harper","Kyle Schwarber",18700,39.2,2.1
"CIN","PHI","Alejo Lopez","Aristides Aquino","Bryce Harper","J.T. Realmuto",15900,39.2,2.5
"COL","PHI","Connor Joe","Sam Hilliard","J.T. Realmuto","Jean Segura",16800,39.2,2.3
"LAD","PHI","Hanser Alberto","Trea Turner","Bryce Harper","Kyle Schwarber",19400,39.2,2
"MIL","PHI","Andrew McCutchen","Jace Peterson","Kyle Schwarber","Rhys Hoskins",18200,39.2,2.2
"PHI","TB","Bryce Harper","Rhys Hoskins","Harold Ramirez","Ji-Man Choi",19300,39.2,2
"ARI","SF","Daulton Varsho","Ketel Marte","Brandon Belt","Steven Duggar",16700,39.2,2.3
"ARI","PHI","Carson Kelly","Daulton Varsho","Didi Gregorius","Rhys Hoskins",17500,39.2,2.2
"BAL","PHI","Cedric Mullins","Rougned Odor","Jean Segura","Rhys Hoskins",17800,39.2,2.2
"CHC","PHI","Michael Hermosillo","Willson Contreras","Kyle Schwarber","Rhys Hoskins",18300,39.2,2.1
"CHC","PHI","Frank Schwindel","Ian Happ","Jean Segura","Nick Castellanos",18600,39.2,2.1
"CIN","PHI","Brandon Drury","Jonathan India","J.T. Realmuto","Jean Segura",15800,39.2,2.5
"HOU","PHI","Chas McCormick","Michael Brantley","Didi Gregorius","Nick Castellanos",17800,39.2,2.2
"LAD","PHI","Gavin Lux","Will Smith","Didi Gregorius","Nick Castellanos",18200,39.2,2.2
"NYM","PHI","Eduardo Escobar","James McCann","J.T. Realmuto","Jean Segura",17700,39.2,2.2
"NYM","PHI","James McCann","Robinson Cano","Bryce Harper","Didi Gregorius",17700,39.2,2.2
"PHI","PIT","Bryce Harper","Rhys Hoskins","Cole Tucker","Roberto Perez",17900,39.2,2.2
"PHI","SF","Bryce Harper","Kyle Schwarber","Mike Yastrzemski","Tommy La Stella",18400,39.2,2.1
"PHI","TB","Bryce Harper","Jean Segura","Manuel Margot","Taylor Walls",16300,39.2,2.4
"PHI","PIT","Jean Segura","Nick Castellanos","Bryan Reynolds","Cole Tucker",18600,39.2,2.1
"PHI","SF","Didi Gregorius","Kyle Schwarber","Brandon Crawford","Darin Ruf",18700,39.2,2.1
"ARI","PHI","Daulton Varsho","Pavin Smith","J.T. Realmuto","Johan Camargo",14800,39.2,2.7
"CHC","PHI","Frank Schwindel","Michael Hermosillo","Bryce Harper","Didi Gregorius",18200,39.2,2.2
"CIN","PHI","Mike Moustakas","Tommy Pham","Bryce Harper","Didi Gregorius",15900,39.2,2.5
"CIN","PHI","Jake Fraley","Tommy Pham","J.T. Realmuto","Kyle Schwarber",15900,39.2,2.5
"CIN","PHI","Donovan Solano","Tyler Stephenson","Bryce Harper","J.T. Realmuto",17300,39.2,2.3
"COL","PHI","Connor Joe","Jose Iglesias","Bryce Harper","Matt Vierling",16500,39.2,2.4
"COL","PHI","Alan Trejo","Charlie Blackmon","Bryce Harper","Kyle Schwarber",18000,39.2,2.2
"LAD","PHI","Chris Taylor","Cody Bellinger","Didi Gregorius","J.T. Realmuto",17600,39.2,2.2
"LAD","PHI","Austin Barnes","Mookie Betts","J.T. Realmuto","Rhys Hoskins",19200,39.2,2
"NYM","PHI","Eduardo Escobar","Robinson Cano","Bryce Harper","Matt Vierling",17000,39.2,2.3
"NYM","PHI","Luis Guillorme","Robinson Cano","Bryce Harper","J.T. Realmuto",17400,39.2,2.3
"OAK","PHI","Cristian Pache","Sheldon Neuse","J.T. Realmuto","Kyle Schwarber",16500,39.2,2.4
"OAK","PHI","Austin Allen","Tony Kemp","Bryce Harper","Kyle Schwarber",17700,39.2,2.2
"OAK","PHI","Austin Allen","Chad Pinder","Bryce Harper","J.T. Realmuto",17200,39.2,2.3
"PHI","PIT","Bryce Harper","J.T. Realmuto","Josh VanMeter","Michael Chavis",17300,39.2,2.3
"PHI","WSH","Bryce Harper","Matt Vierling","Maikel Franco","Victor Robles",14800,39.2,2.7
"ARI","COL","Daulton Varsho","Ketel Marte","C.J. Cron","Kris Bryant",17500,39.2,2.2
"ARI","PHI","David Peralta","Ketel Marte","Johan Camargo","Rhys Hoskins",17000,39.2,2.3
"ARI","PHI","David Peralta","Seth Beer","Matt Vierling","Nick Castellanos",15800,39.2,2.5
"ARI","PHI","Christian Walker","Pavin Smith","Didi Gregorius","Nick Castellanos",17000,39.2,2.3
"ATL","PHI","Adam Duvall","Austin Riley","Didi Gregorius","Nick Castellanos",18700,39.2,2.1
"ATL","PHI","Austin Riley","Travis d'Arnaud","Bryce Harper","Johan Camargo",16500,39.2,2.4
"ATL","PHI","Guillermo Heredia","Travis d'Arnaud","Bryce Harper","Nick Castellanos",17600,39.2,2.2
"BAL","PHI","Austin Hays","Ryan Mountcastle","Kyle Schwarber","Rhys Hoskins",17700,39.2,2.2
"BAL","PHI","Austin Hays","Ryan McKenna","Bryce Harper","J.T. Realmuto",17400,39.2,2.3
"CHC","PHI","Clint Frazier","Nick Madrigal","Kyle Schwarber","Rhys Hoskins",18100,39.2,2.2
"CHC","PHI","Ian Happ","Seiya Suzuki","J.T. Realmuto","Jean Segura",19100,39.2,2.1
"CHC","PHI","Michael Hermosillo","Nico Hoerner","Bryce Harper","Jean Segura",17300,39.2,2.3
"CHC","PHI","Frank Schwindel","Jason Heyward","Bryce Harper","Kyle Schwarber",19100,39.2,2.1
"CHC","PHI","Patrick Wisdom","Yan Gomes","Bryce Harper","J.T. Realmuto",19800,39.2,2
"COL","SF","C.J. Cron","Kris Bryant","Brandon Belt","Mike Yastrzemski",18000,39.2,2.2
"COL","PHI","Connor Joe","Kris Bryant","Didi Gregorius","Jean Segura",17500,39.2,2.2
"COL","PHI","C.J. Cron","Ryan McMahon","Matt Vierling","Nick Castellanos",17400,39.2,2.3
"COL","PHI","Connor Joe","Elias Diaz","Jean Segura","Rhys Hoskins",17600,39.2,2.2
"HOU","PHI","Chas McCormick","Jose Altuve","Didi Gregorius","Nick Castellanos",19300,39.2,2
"LAD","PHI","Justin Turner","Mookie Betts","Matt Vierling","Nick Castellanos",17900,39.2,2.2
"LAD","PHI","Austin Barnes","Cody Bellinger","Bryce Harper","Rhys Hoskins",17600,39.2,2.2
"NYM","PHI","Francisco Lindor","Starling Marte","Matt Vierling","Rhys Hoskins",19900,39.2,2
"NYM","PHI","Dominic Smith","Travis Jankowski","J.T. Realmuto","Rhys Hoskins",16500,39.2,2.4
"NYM","PHI","Brandon Nimmo","Jeff McNeil","Bryce Harper","J.T. Realmuto",19300,39.2,2
"OAK","PHI","Elvis Andrus","Sheldon Neuse","Kyle Schwarber","Rhys Hoskins",17200,39.2,2.3
"OAK","PHI","Billy McKinney","Kevin Smith","J.T. Realmuto","Nick Castellanos",17100,39.2,2.3
"PHI","PIT","Bryce Harper","Kyle Schwarber","Roberto Perez","Yoshi Tsutsugo",18600,39.2,2.1
"PHI","WSH","Kyle Schwarber","Nick Castellanos","Alcides Escobar","Victor Robles",18700,39.2,2.1
"PHI","PIT","Jean Segura","Nick Castellanos","Ke'Bryan Hayes","Yoshi Tsutsugo",19000,39.2,2.1
"PHI","TB","Jean Segura","Nick Castellanos","Josh Lowe","Taylor Walls",16100,39.2,2.4
"PHI","SF","Jean Segura","Rhys Hoskins","Darin Ruf","Joey Bart",16000,39.2,2.5
"PHI","TB","Jean Segura","Rhys Hoskins","Kevin Kiermaier","Yandy Diaz",17400,39.2,2.3
"PHI","TB","Jean Segura","Kyle Schwarber","Josh Lowe","Mike Zunino",17500,39.2,2.2
"PHI","TB","Matt Vierling","Nick Castellanos","Mike Zunino","Wander Franco",18600,39.2,2.1
"PHI","WSH","Matt Vierling","Nick Castellanos","Alcides Escobar","Juan Soto",19400,39.2,2
"PHI","SF","Kyle Schwarber","Matt Vierling","Brandon Belt","Steven Duggar",15900,39.2,2.5
"LAD","PHI","Mookie Betts","Trea Turner","Bryce Harper","Simon Muzziotti",19900,39.2,2
"PHI","WSH","Bryce Harper","Rhys Hoskins","Maikel Franco","Yadiel Hernandez",17300,39.2,2.3
"ARI","PHI","Christian Walker","Ketel Marte","Jean Segura","Matt Vierling",15700,39.2,2.5
"ARI","PHI","David Peralta","Seth Beer","Didi Gregorius","Rhys Hoskins",17300,39.2,2.3
"ARI","PHI","Christian Walker","Sergio Alcantara","Jean Segura","Rhys Hoskins",15500,39.2,2.5
"BAL","PHI","Anthony Santander","Ryan Mountcastle","Kyle Schwarber","Nick Castellanos",18400,39.2,2.1
"COL","PHI","C.J. Cron","Kris Bryant","Kyle Schwarber","Matt Vierling",16700,39.2,2.3
"COL","PHI","C.J. Cron","Ryan McMahon","Didi Gregorius","Rhys Hoskins",18900,39.2,2.1
"COL","PHI","Charlie Blackmon","Elias Diaz","Jean Segura","Nick Castellanos",18100,39.2,2.2
"COL","PHI","Charlie Blackmon","Jose Iglesias","Bryce Harper","Didi Gregorius",18500,39.2,2.1
"LAA","PHI","Brandon Marsh","Jose Rojas","Bryce Harper","Matt Vierling",14900,39.2,2.6
"LAA","PHI","Anthony Rendon","Max Stassi","Kyle Schwarber","Nick Castellanos",19800,39.2,2
"LAA","PHI","Jose Rojas","Kurt Suzuki","Bryce Harper","J.T. Realmuto",17400,39.2,2.3
"LAD","PHI","Trea Turner","Will Smith","Jean Segura","Matt Vierling",17100,39.2,2.3
"LAD","PHI","Justin Turner","Mookie Betts","Didi Gregorius","Rhys Hoskins",19400,39.2,2
"LAD","PHI","Chris Taylor","Freddie Freeman","Matt Vierling","Nick Castellanos",17800,39.2,2.2
"PHI","TB","Bryce Harper","Nick Castellanos","Harold Ramirez","Kevin Kiermaier",19100,39.2,2.1
"PHI","PIT","J.T. Realmuto","Nick Castellanos","Cole Tucker","Yoshi Tsutsugo",18100,39.2,2.2
"PHI","SD","J.T. Realmuto","Johan Camargo","Manny Machado","Trent Grisham",16800,39.2,2.3
"SF","TB","Brandon Belt","Brandon Crawford","Brandon Lowe","Josh Lowe",18900,39.2,2.1
"ATL","PHI","Dansby Swanson","Eddie Rosario","J.T. Realmuto","Jean Segura",17600,39.2,2.2
"BAL","PHI","Cedric Mullins","Ryan Mountcastle","Bryce Harper","Johan Camargo",17200,39.2,2.3
"COL","PHI","Brendan Rodgers","Dom Nunez","Bryce Harper","Jean Segura",17500,39.2,2.2
"PHI","SF","Bryce Harper","J.T. Realmuto","Steven Duggar","Tommy La Stella",17000,39.2,2.3
"ARI","PHI","Geraldo Perdomo","Sergio Alcantara","J.T. Realmuto","Jean Segura",16000,39.2,2.5
"ARI","PHI","David Peralta","Yonny Hernandez","J.T. Realmuto","Rhys Hoskins",18800,39.2,2.1
"ARI","PHI","Pavin Smith","Yonny Hernandez","Bryce Harper","Jean Segura",17800,39.2,2.2
"ATL","PHI","Eddie Rosario","Matt Olson","Jean Segura","Rhys Hoskins",18400,39.2,2.1
"BAL","PHI","Austin Hays","Jorge Mateo","J.T. Realmuto","Jean Segura",16000,39.2,2.5
"CHC","PHI","Clint Frazier","Frank Schwindel","Kyle Schwarber","Rhys Hoskins",18500,39.2,2.1
"CHC","PHI","Michael Hermosillo","Nick Madrigal","J.T. Realmuto","Jean Segura",16900,39.2,2.3
"CIN","PHI","Joey Votto","Jonathan India","Kyle Schwarber","Rhys Hoskins",18200,39.2,2.2
"CIN","PHI","Aristides Aquino","Kyle Farmer","Kyle Schwarber","Nick Castellanos",16400,39.2,2.4
"CIN","PHI","Kyle Farmer","Tyler Stephenson","Bryce Harper","Didi Gregorius",16700,39.2,2.3
"COL","PHI","Charlie Blackmon","Ryan McMahon","Jean Segura","Kyle Schwarber",18100,39.2,2.2
"COL","PHI","Connor Joe","Dom Nunez","J.T. Realmuto","Kyle Schwarber",18000,39.2,2.2
"HOU","PHI","Martin Maldonado","Yordan Alvarez","Bryce Harper","Didi Gregorius",18900,39.2,2.1
"LAA","PHI","Brandon Marsh","Tyler Wade","Nick Castellanos","Rhys Hoskins",17300,39.2,2.3
"LAA","PHI","Jo Adell","Tyler Wade","J.T. Realmuto","Rhys Hoskins",17400,39.2,2.3
"LAD","SF","Freddie Freeman","Will Smith","Brandon Belt","Brandon Crawford",19500,39.2,2
"LAD","PHI","Chris Taylor","Freddie Freeman","Didi Gregorius","Rhys Hoskins",19300,39.2,2
"LAD","PHI","Chris Taylor","Max Muncy","J.T. Realmuto","Jean Segura",19000,39.2,2.1
"MIL","PHI","Kolten Wong","Omar Narvaez","Kyle Schwarber","Rhys Hoskins",17900,39.2,2.2
"NYM","PHI","Starling Marte","Travis Jankowski","Didi Gregorius","J.T. Realmuto",19200,39.2,2
"NYM","PHI","Luis Guillorme","Starling Marte","Bryce Harper","Kyle Schwarber",19700,39.2,2
"OAK","WSH","Sean Murphy","Seth Brown","Juan Soto","Nelson Cruz",19100,39.2,2.1
"OAK","PHI","Sean Murphy","Sheldon Neuse","Didi Gregorius","Nick Castellanos",18700,39.2,2.1
"OAK","PHI","Seth Brown","Sheldon Neuse","Didi Gregorius","Nick Castellanos",17300,39.2,2.3
"PHI","SD","Nick Castellanos","Rhys Hoskins","Manny Machado","Matt Beaty",18200,39.2,2.2
"PHI","TB","J.T. Realmuto","Jean Segura","Francisco Mejia","Wander Franco",18700,39.2,2.1
"PHI","SF","Jean Segura","Nick Castellanos","Joey Bart","Thairo Estrada",17400,39.2,2.3
"PHI","WSH","Didi Gregorius","Nick Castellanos","Alcides Escobar","Cesar Hernandez",19000,39.2,2.1
"PHI","SF","J.T. Realmuto","Johan Camargo","Darin Ruf","Mike Yastrzemski",15700,39.2,2.5
"PHI","SF","Bryce Harper","Simon Muzziotti","Brandon Belt","Wilmer Flores",17600,39.2,2.2
"COL","PHI","Elias Diaz","Ryan McMahon","Bryce Harper","Matt Vierling",16900,39.2,2.3
"HOU","PHI","Alex Bregman","Yuli Gurriel","Bryce Harper","Johan Camargo",18200,39.2,2.2
"LAA","SF","Jared Walsh","Shohei Ohtani","Brandon Belt","Joc Pederson",18500,39.2,2.1
"PHI","SF","Bryce Harper","J.T. Realmuto","Luke Williams","Thairo Estrada",17900,39.2,2.2
"PHI","WSH","Bryce Harper","Rhys Hoskins","Lane Thomas","Riley Adams",17200,39.2,2.3
"PHI","SF","J.T. Realmuto","Kyle Schwarber","Brandon Belt","Curt Casali",18700,39.2,2.1
"PHI","TB","Didi Gregorius","J.T. Realmuto","Brandon Lowe","Francisco Mejia",19400,39.2,2
"PHI","PIT","Jean Segura","Kyle Schwarber","Ke'Bryan Hayes","Michael Chavis",17800,39.2,2.2
"PHI","WSH","Garrett Stubbs","J.T. Realmuto","Juan Soto","Nelson Cruz",19300,39.2,2
"ARI","WSH","Daulton Varsho","Ketel Marte","Josh Bell","Juan Soto",19900,39.2,2
"ARI","PHI","Geraldo Perdomo","Pavin Smith","Bryce Harper","Matt Vierling",15400,39.2,2.5
"ATL","PHI","Dansby Swanson","Travis d'Arnaud","Kyle Schwarber","Rhys Hoskins",18000,39.2,2.2
"ATL","PHI","Dansby Swanson","Marcell Ozuna","Jean Segura","Nick Castellanos",18400,39.2,2.1
"ATL","PHI","Austin Riley","Manny Pina","J.T. Realmuto","Nick Castellanos",18200,39.2,2.2
"BAL","PHI","Austin Hays","Chris Owings","Bryce Harper","J.T. Realmuto",18100,39.2,2.2
"CHC","PHI","Clint Frazier","Willson Contreras","Bryce Harper","Johan Camargo",16800,39.2,2.3
"CHC","PHI","Seiya Suzuki","Willson Contreras","Jean Segura","Rhys Hoskins",19500,39.2,2
"CHC","PHI","Ian Happ","Jonathan Villar","Bryce Harper","Jean Segura",19000,39.2,2.1
"CIN","PHI","Aristides Aquino","Tommy Pham","Didi Gregorius","J.T. Realmuto",15200,39.2,2.6
"CIN","PHI","Aramis Garcia","Jonathan India","Bryce Harper","Rhys Hoskins",17400,39.2,2.3
"COL","PHI","Brendan Rodgers","Ryan McMahon","Didi Gregorius","J.T. Realmuto",18500,39.2,2.1
"COL","PHI","Alan Trejo","C.J. Cron","J.T. Realmuto","Rhys Hoskins",17900,39.2,2.2
"LAD","PHI","Cody Bellinger","Edwin Rios","Kyle Schwarber","Rhys Hoskins",16000,39.2,2.4
"MIL","PHI","Rowdy Tellez","Willy Adames","Didi Gregorius","Nick Castellanos",18200,39.2,2.2
"MIL","PHI","Kolten Wong","Lorenzo Cain","Jean Segura","Kyle Schwarber",17000,39.2,2.3
"MIL","PHI","Andrew McCutchen","Omar Narvaez","Kyle Schwarber","Rhys Hoskins",18200,39.2,2.2
"NYM","PHI","Dominic Smith","Starling Marte","Bryce Harper","Johan Camargo",17700,39.2,2.2
"NYM","PHI","Dominic Smith","Robinson Cano","Kyle Schwarber","Nick Castellanos",17800,39.2,2.2
"NYM","PHI","Eduardo Escobar","Tomas Nido","Bryce Harper","Nick Castellanos",19200,39.2,2
"PHI","PIT","Bryce Harper","Nick Castellanos","Andrew Knapp","Ke'Bryan Hayes",19400,39.2,2
"PHI","TB","Bryce Harper","Nick Castellanos","Francisco Mejia","Manuel Margot",18500,39.2,2.1
"PHI","TB","J.T. Realmuto","Rhys Hoskins","Francisco Mejia","Mike Zunino",19100,39.2,2.1
"PHI","PIT","J.T. Realmuto","Kyle Schwarber","Cole Tucker","Michael Chavis",16900,39.2,2.3
"PHI","TB","Jean Segura","Rhys Hoskins","Josh Lowe","Yandy Diaz",17300,39.2,2.3
"PHI","SF","Jean Segura","Kyle Schwarber","Darin Ruf","Thairo Estrada",17100,39.2,2.3
"PHI","SD","Bryce Harper","Johan Camargo","Ha-Seong Kim","Wil Myers",14700,39.2,2.7
"PHI","SF","Matt Vierling","Nick Castellanos","Mike Yastrzemski","Wilmer Flores",16700,39.2,2.3
"PHI","PIT","Matt Vierling","Nick Castellanos","Bryan Reynolds","Ke'Bryan Hayes",18800,39.2,2.1
"ARI","PHI","Ketel Marte","Sergio Alcantara","J.T. Realmuto","Johan Camargo",15900,39.2,2.5
"ATL","PHI","Matt Olson","Travis d'Arnaud","J.T. Realmuto","Matt Vierling",16500,39.2,2.4
"ATL","PHI","Eddie Rosario","Marcell Ozuna","Bryce Harper","Matt Vierling",16700,39.2,2.3
"ATL","PHI","Matt Olson","Orlando Arcia","Jean Segura","Nick Castellanos",17300,39.2,2.3
"BAL","PHI","Cedric Mullins","Ramon Urias","Jean Segura","Rhys Hoskins",18100,39.2,2.2
"BAL","PHI","Ryan Mountcastle","Trey Mancini","Bryce Harper","Matt Vierling",15300,39.2,2.6
