"Player","Pos","Team","Salary","Proj","projVal","ID","Opp","ML","OU","SPRD","IMP","Actual","actVal"
"Quintin Morris","TE","BUF",2600,4.67,1.8,24485042,"PIT",-860,45.5,-14,29.8,5.9,2.3
"Amon-Ra St. Brown","WR","DET",7600,14.74,1.9,24484526,"@NE",134,46.5,3,21.8,5.8,0.8
"Davis Mills","QB","HOU",5000,14.73,2.9,24484189,"@JAX",261,43.5,7,18.2,5.8,1.2
"Corey Davis","WR","NYJ",5100,9.65,1.9,24484590,"MIA",153,46,3.5,21.2,5.8,1.1
"Garrett Wilson","WR","NYJ",5200,11.16,2.1,24484584,"MIA",153,46,3.5,21.2,5.7,1.1
"Jamaal Williams","RB","DET",6500,14.84,2.3,24484254,"@NE",134,46.5,3,21.8,5.6,0.9
"Devin Singletary","RB","BUF",6100,13.61,2.2,24484270,"PIT",-860,45.5,-14,29.8,5.6,0.9
"Rashaad Penny","RB","SEA",5300,11.69,2.2,24484296,"@NO",190,45.5,5.5,20,5.4,1
"Josh Palmer","WR","LAC",5100,10.63,2.1,24484586,"@CLE",-122,47,-2,24.5,5.4,1.1
"Jaylen Waddle","WR","MIA",6700,17.38,2.6,24484540,"@NYJ",-182,46,-3.5,24.8,5.3,0.8
"A.J. Green","WR","ARI",4300,5.4,1.3,24484624,"PHI",184,48.5,5.5,21.5,5,1.2
"Quez Watkins","WR","PHI",3600,4,1.1,24484670,"@ARI",-230,48.5,-5.5,27,4.9,1.4
"Rex Burkhead","RB","HOU",5000,8.2,1.6,24484310,"@JAX",261,43.5,7,18.2,4.8,1
"Kyle Juszczyk","RB","SF",4000,2.77,0.7,24484410,"@CAR",-267,40,-6.5,23.2,4.7,1.2
"Tyler Allgeier","RB","ATL",4700,10.34,2.2,24484334,"@TB",360,46.5,10,18.2,4.5,1
"Equanimeous St. Brown","WR","CHI",3900,6.19,1.6,24484656,"@MIN",281,44,7.5,18.2,4.4,1.1
"Zay Jones","WR","JAX",4100,10.91,2.7,24484636,"HOU",-323,43.5,-7,25.2,4.2,1
"Allen Robinson","WR","LAR",5300,9.82,1.9,24484578,"DAL",-235,42.5,-5.5,24,4.2,0.8
"Robbie Anderson","WR","CAR",4300,8.96,2.1,24484622,"SF",217,40,6.5,16.8,4.2,1
"Jordan Akins","TE","HOU",2500,3.77,1.5,24485216,"@JAX",261,43.5,7,18.2,4.2,1.7
"Will Dissly","TE","SEA",3300,5.56,1.7,24485008,"@NO",190,45.5,5.5,20,4.1,1.2
"Cooper Rush","QB","DAL",5400,15.1,2.8,24484174,"@LAR",193,42.5,5.5,18.5,4,0.7
"Mike Gesicki","TE","MIA",3500,5.85,1.7,24485002,"@NYJ",-182,46,-3.5,24.8,4,1.1
"Cedrick Wilson","WR","MIA",3100,3.39,1.1,24484718,"@NYJ",-182,46,-3.5,24.8,4,1.3
"Mark Ingram","RB","NO",5400,6.65,1.2,24484292,"SEA",-233,45.5,-5.5,25.5,3.6,0.7
"Chris Manhertz","TE","JAX",2500,1.11,0.4,24485062,"HOU",-323,43.5,-7,25.2,3.5,1.4
"Caleb Huntley","RB","ATL",4300,5.68,1.3,24484358,"@TB",360,46.5,10,18.2,3.4,0.8
"Cam Akers","RB","LAR",5600,10.39,1.9,24484282,"DAL",-235,42.5,-5.5,24,3.3,0.6
"Pat Freiermuth","TE","PIT",4100,10.32,2.5,24484994,"@BUF",583,45.5,14,15.8,3.2,0.8
"C.J. Uzomah","TE","NYJ",2600,3.07,1.2,24485048,"MIA",153,46,3.5,21.2,3.2,1.2
"Dan Arnold","TE","JAX",2600,1.67,0.6,24485044,"HOU",-323,43.5,-7,25.2,3,1.2
"DeAndre Carter","WR","LAC",3900,7.66,2,24484652,"@CLE",-122,47,-2,24.5,2.9,0.7
"Ian Thomas","TE","CAR",2600,3.68,1.4,24485050,"SF",217,40,6.5,16.8,2.8,1.1
"Johnny Mundt","TE","MIN",2500,2.73,1.1,24485068,"CHI",-350,44,-7.5,25.8,2.6,1
"Marquez Callaway","WR","NO",3300,8.41,2.5,24484692,"SEA",-233,45.5,-5.5,25.5,2.5,0.8
"Juwan Johnson","TE","NO",3000,5.65,1.9,24485016,"SEA",-233,45.5,-5.5,25.5,2.3,0.8
"Damien Harris","RB","NE",5600,13.82,2.5,24484284,"DET",-157,46.5,-3,24.8,2.2,0.4
"Brian Robinson","RB","WAS",4800,3.23,0.7,24484322,"TEN",-106,43,0.5,21.2,2.2,0.5
"Christian Kirk","WR","JAX",6600,15.73,2.4,24484542,"HOU",-323,43.5,-7,25.2,2.1,0.3
"Elijah Moore","WR","NYJ",5000,10.1,2,24484596,"MIA",153,46,3.5,21.2,2.1,0.4
"Anthony Firkser","TE","ATL",2500,3.99,1.6,24485226,"@TB",360,46.5,10,18.2,2.1,0.8
"Tre'Quan Smith","WR","NO",3500,6.53,1.9,24484672,"SEA",-233,45.5,-5.5,25.5,2,0.6
"Kenneth Gainwell","RB","PHI",5000,6.28,1.3,24484308,"@ARI",-230,48.5,-5.5,27,2,0.4
"Bryan Edwards","WR","ATL",3000,2.4,0.8,24484952,"@TB",360,46.5,10,18.2,2,0.7
"DeeJay Dallas","RB","SEA",4000,2.09,0.5,24484468,"@NO",190,45.5,5.5,20,2,0.5
"Parker Hesse","TE","ATL",2500,4.74,1.9,24485222,"@TB",360,46.5,10,18.2,1.9,0.8
"Kyle Philips","WR","TEN",3900,6.32,1.6,24484658,"@WAS",-112,43,-0.5,21.8,1.7,0.4
"Austin Hooper","TE","TEN",2800,4.99,1.8,24485026,"@WAS",-112,43,-0.5,21.8,1.7,0.6
"Cam Sims","WR","WAS",3500,2.33,0.7,24484674,"TEN",-106,43,0.5,21.2,1.7,0.5
"T.J. Hockenson","TE","DET",4900,12.25,2.5,24484982,"@NE",134,46.5,3,21.8,1.6,0.3
"David Bell","WR","CLE",3300,4.03,1.2,24484698,"LAC",104,47,2,22.5,1.6,0.5
"Noah Brown","WR","DAL",4900,7.37,1.5,24484606,"@LAR",193,42.5,5.5,18.5,1.5,0.3
"Trent Sherfield","WR","MIA",3300,3.6,1.1,24484696,"@NYJ",-182,46,-3.5,24.8,1.5,0.5
"Geoff Swaim","TE","TEN",2900,3.48,1.2,24485022,"@WAS",-112,43,-0.5,21.8,1.5,0.5
"Justin Jackson","RB","DET",4600,3.51,0.8,24484340,"@NE",134,46.5,3,21.8,1.4,0.3
"Gerald Everett","TE","LAC",4200,10.49,2.5,24484992,"@CLE",-122,47,-2,24.5,1.2,0.3
"Khalil Herbert","RB","CHI",5900,7.98,1.4,24484276,"@MIN",281,44,7.5,18.2,1.1,0.2
"Ryan Griffin","TE","CHI",2500,2.66,1.1,24485204,"@MIN",281,44,7.5,18.2,1.1,0.4
"Kendrick Bourne","WR","NE",3600,6.49,1.8,24484662,"DET",-157,46.5,-3,24.8,1,0.3
"Darrel Williams","RB","ARI",4400,3.37,0.8,24484356,"PHI",184,48.5,5.5,21.5,0.9,0.2
"Zack Moss","RB","BUF",4700,4.77,1,24484326,"PIT",-860,45.5,-14,29.8,0.7,0.1
"Jamal Agnew","WR","JAX",3600,3.4,0.9,24484668,"HOU",-323,43.5,-7,25.2,0.3,0.1
"Zander Horvath","RB","LAC",4000,1.54,0.4,24484414,"@CLE",-122,47,-2,24.5,0.3,0.1
"D'Onta Foreman","RB","CAR",4000,1.82,0.5,24484462,"SF",217,40,6.5,16.8,0.2,0
"Chase Edmonds","RB","MIA",5200,9.31,1.8,24484298,"@NYJ",-182,46,-3.5,24.8,0.1,0
"Brandon Powell","WR","LAR",3400,1.89,0.6,24484680,"DAL",-235,42.5,-5.5,24,0.1,0
"Teddy Bridgewater","QB","MIA",5400,18.29,3.4,24484176,"@NYJ",-182,46,-3.5,24.8,0,0
"DeVante Parker","WR","NE",4700,9.21,2,24484612,"DET",-157,46.5,-3,24.8,0,0
"Dalton Schultz","TE","DAL",3400,9.05,2.7,24485006,"@LAR",193,42.5,5.5,18.5,0,0
"Nelson Agholor","WR","NE",4000,8.95,2.2,24484646,"DET",-157,46.5,-3,24.8,0,0
"Tyler Conklin","TE","NYJ",3700,8.42,2.3,24484998,"MIA",153,46,3.5,21.2,0,0
"O.J. Howard","TE","HOU",2600,6.51,2.5,24485052,"@JAX",261,43.5,7,18.2,0,0
"Sony Michel","RB","LAC",4800,4.76,1,24484320,"@CLE",-122,47,-2,24.5,0,0
"Greg Dortch","WR","ARI",5100,4.72,0.9,24484592,"PHI",184,48.5,5.5,21.5,0,0
"Harrison Bryant","TE","CLE",2900,4.64,1.6,24485024,"LAC",104,47,2,22.5,0,0
"Dante Pettis","WR","CHI",3400,4.28,1.3,24484688,"@MIN",281,44,7.5,18.2,0,0
"Tom Kennedy","WR","DET",3400,3.91,1.2,24484682,"@NE",134,46.5,3,21.8,0,0
"Tommy Tremble","TE","CAR",2500,3.02,1.2,24485172,"SF",217,40,6.5,16.8,0,0
"D'Wayne Eskridge","WR","SEA",3200,2.97,0.9,24484708,"@NO",190,45.5,5.5,20,0,0
"Donald Parham","TE","LAC",2500,2.8,1.1,24485118,"@CLE",-122,47,-2,24.5,0,0
"Ross Dwelley","TE","SF",2600,2.78,1.1,24485040,"@CAR",-267,40,-6.5,23.2,0,0
"Damiere Byrd","WR","ATL",3000,2.62,0.9,24484956,"@TB",360,46.5,10,18.2,0,0
"Deonte Harty","WR","NO",3000,2.61,0.9,24484784,"SEA",-233,45.5,-5.5,25.5,0,0
"Ray-Ray McCloud","WR","SF",3100,2.57,0.8,24484716,"@CAR",-267,40,-6.5,23.2,0,0
"Kyle Rudolph","TE","TB",2600,2.4,0.9,24485038,"ATL",-466,46.5,-10,28.2,0,0
"Jordan Mason","RB","SF",4700,2.38,0.5,24484328,"@CAR",-267,40,-6.5,23.2,0,0
"Cody Hollister","WR","TEN",3000,2.34,0.8,24484836,"@WAS",-112,43,-0.5,21.8,0,0
"Ty Johnson","RB","NYJ",4000,2.3,0.6,24484456,"MIA",153,46,3.5,21.2,0,0
"Ko Kieft","TE","TB",2500,2.22,0.9,24485060,"ATL",-466,46.5,-10,28.2,0,0
"Tre' McKitty","TE","LAC",2500,1.79,0.7,24485120,"@CLE",-122,47,-2,24.5,0,0
"River Cracraft","WR","MIA",3000,1.69,0.6,24484812,"@NYJ",-182,46,-3.5,24.8,0,0
"Anthony Schwartz","WR","CLE",3100,1.48,0.5,24484720,"LAC",104,47,2,22.5,0,0
"Armani Rogers","TE","WAS",2500,1.41,0.6,24485146,"TEN",-106,43,0.5,21.2,0,0
