"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"PHI","@COL - Freeland ( L )","Didi Gregorius","J.T. Realmuto","Jean Segura",14800,31.3,2.1
"PHI","@COL - Freeland ( L )","Johan Camargo","Matt Vierling","Nick Castellanos",11500,31.2,2.7
"PHI","@COL - Freeland ( L )","Didi Gregorius","Johan Camargo","Rhys Hoskins",13200,31.2,2.4
"PHI","@COL - Freeland ( L )","Jean Segura","Johan Camargo","Kyle Schwarber",12900,31.2,2.4
"PHI","@COL - Freeland ( L )","Jean Segura","Matt Vierling","Rhys Hoskins",12900,31.2,2.4
"PHI","@COL - Freeland ( L )","Didi Gregorius","J.T. Realmuto","Johan Camargo",13000,31,2.4
"PHI","@COL - Freeland ( L )","J.T. Realmuto","Jean Segura","Matt Vierling",12700,30.9,2.4
"PHI","@COL - Freeland ( L )","Alec Bohm","Bryce Harper","Rhys Hoskins",15400,30.9,2
"PHI","@COL - Freeland ( L )","Johan Camargo","Matt Vierling","Rhys Hoskins",11100,30.9,2.8
"PHI","@COL - Freeland ( L )","Didi Gregorius","Kyle Schwarber","Nick Castellanos",16300,30.8,1.9
"PHI","@COL - Freeland ( L )","Bryce Harper","Didi Gregorius","Matt Vierling",13800,30.7,2.2
"PHI","@COL - Freeland ( L )","Alec Bohm","Bryce Harper","J.T. Realmuto",15200,30.7,2
"WSH","ARI - Gilbert ( L )","Juan Soto","Nelson Cruz","Yadiel Hernandez",13900,30.6,2.2
"PHI","@COL - Freeland ( L )","J.T. Realmuto","Johan Camargo","Matt Vierling",10900,30.6,2.8
"WSH","ARI - Gilbert ( L )","Josh Bell","Juan Soto","Nelson Cruz",15800,30.5,1.9
"PHI","@COL - Freeland ( L )","Kyle Schwarber","Matt Vierling","Nick Castellanos",14200,30.4,2.1
"PHI","@COL - Freeland ( L )","Didi Gregorius","Kyle Schwarber","Rhys Hoskins",15900,30.4,1.9
"PHI","@COL - Freeland ( L )","Didi Gregorius","Jean Segura","Johan Camargo",12300,30.2,2.5
"PHI","@COL - Freeland ( L )","Didi Gregorius","J.T. Realmuto","Kyle Schwarber",15700,30.2,1.9
"TB","@CHC - Steele ( L )","Mike Zunino","Randy Arozarena","Wander Franco",14800,30.1,2
"TB","@CHC - Steele ( L )","Brandon Lowe","Randy Arozarena","Wander Franco",15700,30,1.9
"WSH","ARI - Gilbert ( L )","Josh Bell","Nelson Cruz","Yadiel Hernandez",12500,30,2.4
"PHI","@COL - Freeland ( L )","Kyle Schwarber","Matt Vierling","Rhys Hoskins",13800,30,2.2
"TB","@CHC - Steele ( L )","Randy Arozarena","Wander Franco","Yandy Diaz",14600,29.9,2
"PHI","@COL - Freeland ( L )","Alec Bohm","Bryce Harper","Jean Segura",14500,29.9,2.1
