"Player","Pos","Team","Salary","Proj","Value","ID","Opp","ML","OU","SPRD","IMP"
"Brandon Bolden","RB","NE",4300,6.56,1.5,"20939089","@BUF",182,43.5,4.5,19.5
"Cowboys","D","DAL",3100,6.48,2.1,"20939540","SF",-162,51,-3,27
"Rondale Moore","WR","ARI",3700,6.46,1.7,"20939265","@LAR",161,49.5,4,22.8
"Antoine Wesley","WR","ARI",3300,6.42,1.9,"20939269","@LAR",161,49.5,4,22.8
"Quez Watkins","WR","PHI",3900,6.36,1.6,"20939255","@TB",303,45.5,8.5,18.5
"Bengals","D","CIN",3000,6.29,2.1,"20939541","LV",-255,48.5,-6,27.2
"Ray-Ray McCloud III","WR","PIT",3700,6.15,1.7,"20939263","@KC",498,46,12.5,16.8
"Jauan Jennings","WR","SF",3800,6.13,1.6,"20939261","@DAL",137,51,3,24
"Patriots","D","NE",2600,6.03,2.3,"20939546","@BUF",182,43.5,4.5,19.5
"Raymond Calais","RB","LAR",4000,5.97,1.5,"20939189","ARI",-193,49.5,-4,26.8
"Dax Raymond","TE","PIT",2500,5.97,2.4,"20939443","@KC",498,46,12.5,16.8
"Raiders","D","LV",2900,5.93,2,"20939543","@CIN",208,48.5,6,21.2
"Cardinals","D","ARI",2900,5.43,1.9,"20939542","@LAR",161,49.5,4,22.8
"49ers","D","SF",2800,5.26,1.9,"20939544","@DAL",137,51,3,24
"Bryan Edwards","WR","LV",3400,5.24,1.5,"20939267","@CIN",208,48.5,6,21.2
"Jalen Reagor","WR","PHI",3100,5.13,1.7,"20939277","@TB",303,45.5,8.5,18.5
"Cameron Brate","TE","TB",2800,5.01,1.8,"20939429","PHI",-385,45.5,-8.5,27
"Jordan Howard","RB","PHI",4300,4.56,1.1,"20939087","@TB",303,45.5,8.5,18.5
"Jonnu Smith","TE","NE",2500,4.36,1.7,"20939489","@BUF",182,43.5,4.5,19.5
"Samaje Perine","RB","CIN",5000,4.32,0.9,"20939069","LV",-255,48.5,-6,27.2
"Derrick Gore","RB","KC",4000,4.29,1.1,"20939103","PIT",-713,46,-12.5,29.2
"Scotty Miller","WR","TB",3800,4.22,1.1,"20939259","PHI",-385,45.5,-8.5,27
"Foster Moreau","TE","LV",2900,4.2,1.4,"20939427","@CIN",208,48.5,6,21.2
"Jalen Richard","RB","LV",4000,4.18,1,"20939101","@CIN",208,48.5,6,21.2
"Eagles","D","PHI",2500,4.17,1.7,"20939547","@TB",303,45.5,8.5,18.5
"Isaiah McKenzie","WR","BUF",3200,4.04,1.3,"20939273","NE",-219,43.5,-4.5,24
"Kyle Juszczyk","RB","SF",4000,4.02,1,"20939127","@DAL",137,51,3,24
"Steelers","D","PIT",2400,4,1.7,"20939548","@KC",498,46,12.5,16.8
"Demarcus Robinson","WR","KC",3300,3.98,1.2,"20939271","PIT",-713,46,-12.5,29.2
"Giovani Bernard","RB","TB",4000,3.92,1,"20939145","PHI",-385,45.5,-8.5,27
"Boston Scott","RB","PHI",4500,3.84,0.9,"20939081","@TB",303,45.5,8.5,18.5
"DeSean Jackson","WR","LV",3000,3.79,1.3,"20939287","@CIN",208,48.5,6,21.2
"Zack Moss","RB","BUF",4100,3.7,0.9,"20939095","NE",-219,43.5,-4.5,24
"Ke'Shawn Vaughn","RB","TB",4500,3.34,0.7,"20939077","PHI",-385,45.5,-8.5,27
"Blake Jarwin","TE","DAL",2500,3.34,1.3,"20939465","SF",-162,51,-3,27
"JaMycal Hasty","RB","SF",4000,3.33,0.8,"20939119","@DAL",137,51,3,24
"Jerick McKinnon","RB","KC",4100,3.3,0.8,"20939097","PIT",-713,46,-12.5,29.2
"James Washington","WR","PIT",3200,3.27,1,"20939275","@KC",498,46,12.5,16.8
"Ben Skowronek","WR","LAR",3000,3.26,1.1,"20939389","ARI",-193,49.5,-4,26.8
"Kenneth Gainwell","RB","PHI",4400,3.04,0.7,"20939083","@TB",303,45.5,8.5,18.5
"Josh Gordon","WR","KC",3000,3.02,1,"20939301","PIT",-713,46,-12.5,29.2
"Greg Ward","WR","PHI",3000,3,1,"20939283","@TB",303,45.5,8.5,18.5
"N'Keal Harry","WR","NE",3000,2.27,0.8,"20939347","@BUF",182,43.5,4.5,19.5
"Le'Veon Bell","RB","TB",4600,2.16,0.5,"20939075","PHI",-385,45.5,-8.5,27
