"Team","Opp","Player1","Player2","Salary","Proj","Value"
"HOU","LAA - Lorenzen ( R )","Aledmys Diaz","Martin Maldonado",6200,7.2,1.2
"MIL","PIT - Thompson ( R )","Mike Brosseau","Tyrone Taylor",6400,7.2,1.1
"HOU","LAA - Lorenzen ( R )","Jason Castro","Martin Maldonado",4700,7.1,1.5
"CIN","@SD - Manaea ( L )","Alejo Lopez","Tyler Naquin",4900,7.1,1.5
"HOU","LAA - Lorenzen ( R )","Joe Perez","Martin Maldonado",4400,7.1,1.6
"CIN","@SD - Manaea ( L )","Colin Moran","Tyler Naquin",5700,7,1.2
"COL","PHI - Nola ( R )","Dom Nunez","Yonathan Daza",5100,6.9,1.3
"HOU","LAA - Lorenzen ( R )","Aledmys Diaz","Niko Goodrum",7500,6.8,0.9
"ATL","@LAD - Kershaw ( L )","Alex Dickerson","Guillermo Heredia",4900,6.8,1.4
"SD","CIN - Lodolo ( L )","Eric Hosmer","Jose Azocar",5200,6.8,1.3
"HOU","LAA - Lorenzen ( R )","Jason Castro","Niko Goodrum",6000,6.7,1.1
"HOU","LAA - Lorenzen ( R )","Joe Perez","Niko Goodrum",5700,6.7,1.2
"OAK","BAL - Watkins ( R )","Kevin Smith","Stephen Vogt",6100,6.6,1.1
"SD","CIN - Lodolo ( L )","Jose Azocar","Matt Beaty",4100,6.6,1.6
"PIT","@MIL - Lauer ( L )","Dan Vogelbach","Josh VanMeter",7400,6.6,0.9
"CHC","TB - McClanahan ( L )","Jason Heyward","Yan Gomes",6700,6.6,1
"OAK","BAL - Watkins ( R )","Drew Jackson","Kevin Smith",4900,6.6,1.3
"OAK","BAL - Watkins ( R )","Christian Bethancourt","Kevin Smith",4900,6.5,1.3
"PIT","@MIL - Lauer ( L )","Ben Gamel","Josh VanMeter",5700,6.5,1.1
"OAK","BAL - Watkins ( R )","Kevin Smith","Stephen Piscotty",6100,6.5,1.1
"COL","PHI - Nola ( R )","Alan Trejo","Colton Welker",4700,6.4,1.4
"PIT","@MIL - Lauer ( L )","Andrew Knapp","Dan Vogelbach",7200,6.4,0.9
"ATL","@LAD - Kershaw ( L )","Guillermo Heredia","Manny Pina",4300,6.4,1.5
"PIT","@MIL - Lauer ( L )","Andrew Knapp","Ben Gamel",5500,6.3,1.2
"SD","CIN - Lodolo ( L )","C.J. Abrams","Jose Azocar",4400,6.3,1.4
"OAK","BAL - Watkins ( R )","Austin Allen","Kevin Smith",5400,6.3,1.2
"PIT","@MIL - Lauer ( L )","Hoy Park","Josh VanMeter",5300,6.1,1.2
"COL","PHI - Nola ( R )","Alan Trejo","Yonathan Daza",4600,6.1,1.3
"PIT","@MIL - Lauer ( L )","Andrew Knapp","Hoy Park",5100,6,1.2
"LAD","ATL - Ynoa ( R )","Austin Barnes","Hanser Alberto",4900,5.8,1.2
"NYM","SF - Cobb ( R )","Brandon Nimmo","Tomas Nido",6300,5.6,0.9
"TB","@CHC - Hendricks ( R )","Brett Phillips","Harold Ramirez",6700,5.6,0.8
"NYM","SF - Cobb ( R )","Mark Canha","Tomas Nido",5700,5.5,1
"BAL","@OAK - Montas ( R )","Anthony Bemboom","Ryan McKenna",4500,5.4,1.2
"CIN","@SD - Manaea ( L )","Aramis Garcia","Donovan Solano",4800,5.4,1.1
"BAL","@OAK - Montas ( R )","Anthony Bemboom","Chris Owings",5200,5.3,1
"NYM","SF - Cobb ( R )","Brandon Nimmo","Mark Canha",7000,5.3,0.8
"NYM","SF - Cobb ( R )","J.D. Davis","Tomas Nido",5700,5.3,0.9
"NYM","SF - Cobb ( R )","Luis Guillorme","Tomas Nido",4500,5.2,1.2
"OAK","BAL - Watkins ( R )","Drew Jackson","Stephen Vogt",5200,5.2,1
"OAK","BAL - Watkins ( R )","Christian Bethancourt","Stephen Vogt",5200,5.2,1
"CIN","@SD - Manaea ( L )","Alejo Lopez","Aramis Garcia",4100,5.2,1.3
"NYM","SF - Cobb ( R )","Matt Reynolds","Tomas Nido",4500,5.2,1.1
"NYM","SF - Cobb ( R )","Nick Plummer","Tomas Nido",4500,5.2,1.1
"OAK","BAL - Watkins ( R )","Stephen Piscotty","Stephen Vogt",6400,5.1,0.8
"OAK","BAL - Watkins ( R )","Christian Bethancourt","Drew Jackson",4000,5.1,1.3
"OAK","BAL - Watkins ( R )","Drew Jackson","Stephen Piscotty",5200,5.1,1
"NYM","SF - Cobb ( R )","Brandon Nimmo","J.D. Davis",7000,5.1,0.7
"CIN","@SD - Manaea ( L )","Aramis Garcia","Colin Moran",4900,5.1,1
"BAL","@OAK - Montas ( R )","Anthony Bemboom","Kelvin Gutierrez",4800,5.1,1.1
"OAK","BAL - Watkins ( R )","Christian Bethancourt","Stephen Piscotty",5200,5,1
"NYM","SF - Cobb ( R )","Brandon Nimmo","Luis Guillorme",5800,5,0.9
"MIL","PIT - Thompson ( R )","Keston Hiura","Victor Caratini",6400,5,0.8
"NYM","SF - Cobb ( R )","J.D. Davis","Mark Canha",6400,5,0.8
"OAK","BAL - Watkins ( R )","Austin Allen","Stephen Vogt",5700,5,0.9
"NYM","SF - Cobb ( R )","Luis Guillorme","Mark Canha",5200,5,1
"NYM","SF - Cobb ( R )","Brandon Nimmo","Matt Reynolds",5800,4.9,0.8
"NYM","SF - Cobb ( R )","Brandon Nimmo","Nick Plummer",5800,4.9,0.8
"OAK","BAL - Watkins ( R )","Austin Allen","Drew Jackson",4500,4.9,1.1
"NYM","SF - Cobb ( R )","Mark Canha","Matt Reynolds",5200,4.9,0.9
"NYM","SF - Cobb ( R )","Mark Canha","Nick Plummer",5200,4.9,0.9
"OAK","BAL - Watkins ( R )","Austin Allen","Christian Bethancourt",4500,4.9,1.1
"COL","PHI - Nola ( R )","Colton Welker","Yonathan Daza",4300,4.8,1.1
"HOU","LAA - Lorenzen ( R )","Aledmys Diaz","Jose Siri",6900,4.8,0.7
"SF","@NYM - Megill ( R )","Austin Slater","Tommy La Stella",5600,4.8,0.9
"MIL","PIT - Thompson ( R )","Keston Hiura","Mike Brosseau",6400,4.8,0.8
"OAK","BAL - Watkins ( R )","Austin Allen","Stephen Piscotty",5700,4.8,0.8
"HOU","LAA - Lorenzen ( R )","Jason Castro","Jose Siri",5400,4.8,0.9
"SF","@NYM - Megill ( R )","Austin Slater","Curt Casali",5700,4.7,0.8
"NYM","SF - Cobb ( R )","J.D. Davis","Luis Guillorme",5200,4.7,0.9
"HOU","LAA - Lorenzen ( R )","Joe Perez","Jose Siri",5100,4.7,0.9
"SF","@NYM - Megill ( R )","Austin Slater","Luke Williams",5200,4.7,0.9
"NYM","SF - Cobb ( R )","J.D. Davis","Matt Reynolds",5200,4.6,0.9
"NYM","SF - Cobb ( R )","J.D. Davis","Nick Plummer",5200,4.6,0.9
"SF","@NYM - Megill ( R )","Curt Casali","Tommy La Stella",5100,4.6,0.9
"SF","@NYM - Megill ( R )","Austin Slater","Mauricio Dubon",6000,4.6,0.8
"NYM","SF - Cobb ( R )","Luis Guillorme","Matt Reynolds",4000,4.6,1.1
"NYM","SF - Cobb ( R )","Luis Guillorme","Nick Plummer",4000,4.6,1.1
"SF","@NYM - Megill ( R )","Luke Williams","Tommy La Stella",4600,4.5,1
"NYM","SF - Cobb ( R )","Matt Reynolds","Nick Plummer",4000,4.5,1.1
"SF","@NYM - Megill ( R )","Mauricio Dubon","Tommy La Stella",5400,4.4,0.8
"SF","@NYM - Megill ( R )","Curt Casali","Luke Williams",4700,4.4,0.9
"HOU","LAA - Lorenzen ( R )","Aledmys Diaz","Jason Castro",6100,4.4,0.7
"CIN","@SD - Manaea ( L )","Alejo Lopez","Donovan Solano",4700,4.4,0.9
"SF","@NYM - Megill ( R )","Curt Casali","Mauricio Dubon",5500,4.3,0.8
"MIL","PIT - Thompson ( R )","Mike Brosseau","Victor Caratini",6200,4.3,0.7
"HOU","LAA - Lorenzen ( R )","Aledmys Diaz","Joe Perez",5800,4.3,0.7
"SF","@NYM - Megill ( R )","Luke Williams","Mauricio Dubon",5000,4.3,0.9
"CIN","@SD - Manaea ( L )","Colin Moran","Donovan Solano",5500,4.2,0.8
"HOU","LAA - Lorenzen ( R )","Jason Castro","Joe Perez",4300,4.2,1
"BAL","@OAK - Montas ( R )","Chris Owings","Ryan McKenna",5300,4.2,0.8
"LAA","@HOU - Garcia ( R )","Kurt Suzuki","Matt Duffy",6600,4.1,0.6
"LAA","@HOU - Garcia ( R )","Jack Mayfield","Matt Duffy",6700,4.1,0.6
"PIT","@MIL - Lauer ( L )","Andrew Knapp","Josh VanMeter",4800,4.1,0.9
"CIN","@SD - Manaea ( L )","Alejo Lopez","Colin Moran",4800,4.1,0.8
"LAA","@HOU - Garcia ( R )","Jack Mayfield","Kurt Suzuki",5700,4,0.7
"BAL","@OAK - Montas ( R )","Kelvin Gutierrez","Ryan McKenna",4900,3.9,0.8
"BAL","@OAK - Montas ( R )","Chris Owings","Kelvin Gutierrez",5600,3.9,0.7
NA,NA,NA,"Brandon Lowe",NA,NA,NA
NA,NA,NA,"Adam Duvall",NA,NA,NA
NA,NA,NA,"Andrew McCutchen",NA,NA,NA
NA,NA,NA,"Austin Nola",NA,NA,NA
NA,NA,NA,"Clint Frazier",NA,NA,NA
NA,NA,NA,"Andrew Velazquez",NA,NA,NA
NA,NA,NA,"Alan Trejo",NA,NA,NA
NA,NA,NA,"Austin Barnes",NA,NA,NA
NA,NA,NA,"Anthony Bemboom",NA,NA,NA
NA,NA,NA,"Alec Bohm",NA,NA,NA
NA,NA,NA,"Brandon Nimmo",NA,NA,NA
NA,NA,NA,"Austin Slater",NA,NA,NA
NA,NA,NA,"Austin Allen",NA,NA,NA
NA,NA,NA,"Aledmys Diaz",NA,NA,NA
NA,NA,NA,"Alejo Lopez",NA,NA,NA
NA,NA,NA,"Andrew Knapp",NA,NA,NA
