"Pos","Player","Team","Opp","Salary","Proj","Value","OU","SPRD","IMP","Roster"
"RB","Austin Ekeler","WAS","@TB",6000,10.59,1.8,43.5,3.5,20,17.81
"WR","Courtland Sutton","DEN","@SEA",5600,10.58,1.9,42,5.5,18.25,7.2
"WR","Jakobi Meyers","LV","@LAC",5000,10.38,2.1,41,3.5,18.75,2.89
"RB","Chase Brown","CIN","NE",5000,10.27,2.1,40.5,-9,24.75,0
"RB","Zack Moss","CIN","NE",5800,10.26,1.8,40.5,-9,24.75,0
"WR","Adam Thielen","CAR","@NO",5200,10.22,2,40,4.5,17.75,1.81
"RB","Jaylen Warren","PIT","@ATL",5600,10.13,1.8,41,3,19,0.84
"WR","Khalil Shakir","BUF","ARI",5100,10.02,2,48,-6,27,0.34
"WR","Jerry Jeudy","CLE","DAL",5100,10.01,2,42,-2.5,22.25,0
"TE","Jake Ferguson","DAL","@CLE",5200,9.97,1.9,42,2.5,19.75,3.36
"RB","Tyjae Spears","TEN","@CHI",5100,9.67,1.9,45.5,4.5,20.5,0.08
"WR","Wan'Dale Robinson","NYG","MIN",4100,9.59,2.3,41.5,1,20.25,0
"WR","Ladd McConkey","LAC","LV",4700,9.53,2,41,-3.5,22.25,0
"WR","Demario Douglas","NE","@CIN",4800,9.37,2,40.5,9,15.75,NA
"WR","Keon Coleman","BUF","ARI",5000,9.28,1.9,48,-6,27,0
"WR","Rashid Shaheed","NO","CAR",4400,9.22,2.1,40,-4.5,22.25,3.99
"WR","Gabe Davis","JAX","@MIA",4500,9.14,2,49.5,3,23.25,6.82
"WR","Brandin Cooks","DAL","@CLE",5400,9.11,1.7,42,2.5,19.75,4.56
"RB","Gus Edwards","LAC","LV",5300,9.07,1.7,41,-3.5,22.25,1.01
"TE","Dalton Schultz","HOU","@IND",4900,9.03,1.8,49,-2.5,25.75,4.01
"TE","Brock Bowers","LV","@LAC",4500,8.21,1.8,41,3.5,18.75,0
"WR","Michael Wilson","ARI","@BUF",4300,8.17,1.9,48,6,21,2.07
"D","Saints","NO","CAR",3700,8.04,2.2,40,-4.5,22.25,NA
"WR","Darius Slayton","NYG","MIN",4400,7.97,1.8,41.5,1,20.25,1.49
"QB","Drake Maye","NE","@CIN",5000,7.88,1.6,40.5,9,15.75,0
"D","Bucs","TB","WAS",3500,7.77,2.2,43.5,-3.5,23.5,NA
"TE","Taysom Hill","NO","CAR",4300,7.73,1.8,40,-4.5,22.25,1.17
"TE","Pat Freiermuth","PIT","@ATL",4400,7.64,1.7,41,3,19,4.06
"WR","Darnell Mooney","ATL","PIT",4200,7.61,1.8,41,-3,22,4.36
"D","Bengals","CIN","NE",3800,7.59,2,40.5,-9,24.75,NA
"D","Seahawks","SEA","DEN",3400,7.56,2.2,42,-5.5,23.75,NA
"RB","Tyler Allgeier","ATL","PIT",5000,7.53,1.5,41,-3,22,2.06
"RB","Zach Charbonnet","SEA","DEN",5500,7.48,1.4,42,-5.5,23.75,2.84
"TE","Cole Kmet","CHI","TEN",4100,7.47,1.8,45.5,-4.5,25,4.63
"D","Vikings","MIN","@NYG",3600,7.4,2.1,41.5,-1,21.25,NA
"TE","Cade Otton","TB","WAS",3800,7.38,1.9,43.5,-3.5,23.5,3.52
"D","Chargers","LAC","LV",2900,7.34,2.5,41,-3.5,22.25,NA
"WR","Josh Downs","IND","HOU",4800,7.32,1.5,49,2.5,23.25,0.97
"RB","Ty Chandler","MIN","@NYG",5400,7.3,1.4,41.5,-1,21.25,0.32
"TE","Chig Okonkwo","TEN","@CHI",3900,7.26,1.9,45.5,4.5,20.5,NA
"WR","Adonai Mitchell","IND","HOU",3800,7.24,1.9,49,2.5,23.25,0
"D","Browns","CLE","DAL",3100,7.12,2.3,42,-2.5,22.25,NA
"D","Bears","CHI","TEN",3400,7.11,2.1,45.5,-4.5,25,NA
"WR","Tyler Boyd","TEN","@CHI",4500,7.09,1.6,45.5,4.5,20.5,2.19
"D","Falcons","ATL","PIT",3300,7.08,2.1,41,-3,22,NA
"RB","J.K. Dobbins","LAC","LV",4900,7.06,1.4,41,-3.5,22.25,9.45
"WR","Ja'Lynn Polk","NE","@CIN",3900,6.99,1.8,40.5,9,15.75,0
"WR","D.J. Chark","LAC","LV",4000,6.86,1.7,41,-3.5,22.25,NA
"WR","Josh Reynolds","DEN","@SEA",4200,6.83,1.6,42,5.5,18.25,1.04
"D","Cowboys","DAL","@CLE",3900,6.82,1.7,42,2.5,19.75,NA
"D","Bills","BUF","ARI",3000,6.81,2.3,48,-6,27,NA
"RB","Antonio Gibson","NE","@CIN",4900,6.8,1.4,40.5,9,15.75,7.97
"TE","Hunter Henry","NE","@CIN",4200,6.77,1.6,40.5,9,15.75,3.87
"RB","Khalil Herbert","CHI","TEN",5200,6.73,1.3,45.5,-4.5,25,4.16
"TE","Noah Fant","SEA","DEN",4000,6.68,1.7,42,-5.5,23.75,2.88
"RB","Rico Dowdle","DAL","@CLE",4600,6.67,1.5,42,2.5,19.75,0.36
"RB","Jaleel McLaughlin","DEN","@SEA",4300,6.66,1.5,42,5.5,18.25,0.02
"TE","Jonnu Smith","MIA","JAX",3500,6.65,1.9,49.5,-3,26.25,0.88
"TE","Juwan Johnson","NO","CAR",3700,6.64,1.8,40,-4.5,22.25,4.44
"D","Texans","HOU","@IND",2700,6.58,2.4,49,-2.5,25.75,NA
"D","Giants","NYG","MIN",3300,6.57,2,41.5,1,20.25,NA
"WR","Tre Tucker","LV","@LAC",3500,6.55,1.9,41,3.5,18.75,0
"WR","Greg Dortch","ARI","@BUF",3900,6.34,1.6,48,6,21,0.7
"D","Dolphins","MIA","JAX",3200,6.31,2,49.5,-3,26.25,NA
"D","Steelers","PIT","@ATL",2900,6.27,2.2,41,3,19,NA
"WR","Roman Wilson","PIT","@ATL",3200,6.09,1.9,41,3,19,0
"WR","Jalen McMillan","TB","WAS",3300,6.06,1.8,43.5,-3.5,23.5,0
"WR","Andrei Iosivas","CIN","NE",3000,6.04,2,40.5,-9,24.75,0
"WR","Xavier Legette","CAR","@NO",4600,6.02,1.3,40,4.5,17.75,0
"D","Commanders","WAS","@TB",2500,6.02,2.4,43.5,3.5,20,NA
"D","Titans","TEN","@CHI",2800,6.01,2.1,45.5,4.5,20.5,NA
"TE","Hayden Hurst","LAC","LV",3000,6,2,41,-3.5,22.25,6.86
"D","Raiders","LV","@LAC",2800,6,2.1,41,3.5,18.75,NA
"D","Colts","IND","HOU",2600,5.96,2.3,49,2.5,23.25,NA
"WR","Quentin Johnston","LAC","LV",4100,5.9,1.4,41,-3.5,22.25,3.75
"WR","Elijah Moore","CLE","DAL",3600,5.89,1.6,42,-2.5,22.25,9.18
"D","Broncos","DEN","@SEA",2500,5.88,2.4,42,5.5,18.25,NA
"WR","K.J. Osborn","NE","@CIN",3500,5.74,1.6,40.5,9,15.75,2.44
"D","Jaguars","JAX","@MIA",2700,5.67,2.1,49.5,3,23.25,NA
"WR","Noah Brown","WAS","@TB",3200,5.63,1.8,43.5,3.5,20,0.36
"D","Panthers","CAR","@NO",2400,5.63,2.3,40,4.5,17.75,NA
"TE","Zach Ertz","WAS","@TB",3600,5.62,1.6,43.5,3.5,20,0.7
"WR","Marvin Mims","DEN","@SEA",3500,5.62,1.6,42,5.5,18.25,6.59
"WR","Alec Pierce","IND","HOU",4000,5.56,1.4,49,2.5,23.25,2.56
"D","Patriots","NE","@CIN",2600,5.55,2.1,40.5,9,15.75,NA
"WR","Jalen Tolbert","DAL","@CLE",3400,5.53,1.6,42,2.5,19.75,0.16
"WR","Jalin Hyatt","NYG","MIN",3100,5.52,1.8,41.5,1,20.25,2.1
"D","Cardinals","ARI","@BUF",2400,5.46,2.3,48,6,21,NA
"TE","Mike Gesicki","CIN","NE",3000,5.36,1.8,40.5,-9,24.75,4.07
"RB","Trey Benson","ARI","@BUF",5100,5.33,1,48,6,21,0
"RB","Jamaal Williams","NO","CAR",4800,5.2,1.1,40,-4.5,22.25,7.33
