"Pos","Player","Team","Opp","Salary","Proj","Value"
"TE","Irv Smith","MIN","CHI",3200,8.25,2.6
"D","Dolphins","MIA","@NYJ",3200,8.23,2.6
"RB","Rex Burkhead","HOU","@JAX",5000,8.1,1.6
"TE","Logan Thomas","WAS","TEN",3200,8.04,2.5
"WR","Russell Gage","TB","ATL",4900,8.02,1.6
"D","Jaguars","JAX","HOU",3400,7.97,2.3
"D","Rams","LAR","DAL",3700,7.62,2.1
"TE","Evan Engram","JAX","HOU",3100,7.58,2.4
"WR","K.J. Osborn","MIN","CHI",4200,7.53,1.8
"D","Titans","TEN","@WAS",3000,7.46,2.5
"WR","Noah Brown","DAL","@LAR",4900,7.37,1.5
"WR","Olamide Zaccheaus","ATL","@TB",4000,7.37,1.8
"D","Saints","NO","SEA",3300,7.33,2.2
"D","Eagles","PHI","@ARI",3500,7.31,2.1
"WR","DeAndre Carter","LAC","@CLE",3900,7.25,1.9
"RB","Rachaad White","TB","ATL",5100,7.21,1.4
"WR","Kendrick Bourne","NE","DET",3600,6.82,1.9
"WR","Julio Jones","TB","ATL",5500,6.77,1.2
"D","Cowboys","DAL","@LAR",2500,6.75,2.7
"RB","Alexander Mattison","MIN","CHI",6400,6.64,1
"D","Patriots","NE","DET",2900,6.57,2.3
"WR","Marquez Callaway","NO","SEA",3300,6.39,1.9
"TE","Cole Kmet","CHI","@MIN",3000,6.37,2.1
"RB","Dontrell Hilliard","TEN","@WAS",4900,6.36,1.3
"TE","O.J. Howard","HOU","@JAX",2600,6.34,2.4
"RB","Kenneth Gainwell","PHI","@ARI",5000,6.29,1.3
"WR","Chris Moore","HOU","@JAX",3300,6.29,1.9
"D","Seahawks","SEA","@NO",2500,6.27,2.5
"WR","Ben Skowronek","LAR","DAL",4000,6.26,1.6
"TE","Cade Otton","TB","ATL",2500,6.21,2.5
"WR","Kyle Philips","TEN","@WAS",3900,6.18,1.6
"WR","Equanimeous St. Brown","CHI","@MIN",3900,6.16,1.6
"D","Washington","WAS","TEN",2700,6.13,2.3
"WR","Nick Westbrook-Ikhine","TEN","@WAS",4200,6.09,1.4
"D","Jets","NYJ","MIA",2600,6.06,2.3
"D","Chargers","LAC","@CLE",3100,6.05,2
"TE","Hunter Henry","NE","DET",2900,6.04,2.1
"D","Panthers","CAR","SF",2600,6.02,2.3
"D","Browns","CLE","LAC",2700,5.88,2.2
"D","Texans","HOU","@JAX",2400,5.81,2.4
"TE","Mike Gesicki","MIA","@NYJ",3500,5.76,1.6
"D","Lions","DET","@NE",2800,5.7,2
"D","Bears","CHI","@MIN",2300,5.67,2.5
"RB","Caleb Huntley","ATL","@TB",4300,5.62,1.3
"D","Cardinals","ARI","PHI",2100,5.59,2.7
"TE","Juwan Johnson","NO","SEA",3000,5.57,1.9
"TE","Noah Fant","SEA","@NO",2800,5.55,2
"WR","Kalif Raymond","DET","@NE",3700,5.52,1.5
"WR","Jauan Jennings","SF","@CAR",3300,5.44,1.6
"RB","Kenneth Walker","SEA","@NO",4700,5.43,1.2
"TE","Will Dissly","SEA","@NO",3300,5.42,1.6
"WR","A.J. Green","ARI","PHI",4300,5.31,1.2
"WR","Greg Dortch","ARI","PHI",5100,5.3,1
"WR","Khalil Shakir","BUF","PIT",3200,5.27,1.6
