"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Conner Capel","OF","OAK",2000,2.51,1.3,"OF","","OF","@TEX - Ragans - L"
"Seby Zavala","C","CWS",2200,2.5,1.1,"C","","C","COL - Kuhl - R"
"Leury Garcia","3B/SS","CWS",2000,2.5,1.2,"3B/SS","SS","3B","COL - Kuhl - R"
"Ryan McKenna","OF","BAL",2100,2.49,1.2,"OF","","OF","@WAS - Abbott - R"
"Nick Solak","OF","TEX",2000,2.45,1.2,"OF","","OF","OAK - Waldichuk - L"
"Ji-Man Choi","1B","TB",2400,2.44,1,"1B","","1B","@TOR - Merryweather - R"
"Estevan Florial","OF","NYY",2000,2.39,1.2,"OF","","OF","@BOS - Pivetta - R"
"Sandy Leon","C","MIN",2000,2.39,1.2,"C","","C","KC - Bubic - L"
"Cody Thomas","OF","OAK",2000,2.38,1.2,"OF","","OF","@TEX - Ragans - L"
"Oswald Peraza","SS","NYY",2000,2.36,1.2,"SS","","SS","@BOS - Pivetta - R"
"Terrance Gore","OF","NYM",2000,2.36,1.2,"OF","","OF","CHC - Sampson - R"
"Kyle Isbel","OF","KC",2000,2.35,1.2,"OF","","OF","@MIN - Ryan - R"
"Mark Vientos","3B/SS","NYM",2000,2.35,1.2,"3B/SS","SS","3B","CHC - Sampson - R"
"William Contreras","C","ATL",4500,2.34,0.5,"C","","C","@SF - Junis - R"
"Jackie Bradley","OF","TOR",2000,2.33,1.2,"OF","","OF","TB - Springs - L"
"Charlie Culberson","2B/OF","TEX",2000,2.33,1.2,"2B/OF","OF","2B","OAK - Waldichuk - L"
"Andrew Knizner","C","STL",2700,2.31,0.9,"C","","C","MIL - Bush - R"
"Skye Bolt","OF","OAK",2000,2.31,1.2,"OF","","OF","@TEX - Ragans - L"
"Josh Palacios","OF","WSH",2000,2.3,1.1,"OF","","OF","BAL - Kremer - R"
"Caleb Hamilton","C","MIN",2000,2.3,1.1,"C","","C","KC - Bubic - L"
"Hunter Dozier","3B","KC",2600,2.27,0.9,"3B","","3B","@MIN - Ryan - R"
"Yu Chang","2B/SS","TB",2000,2.27,1.1,"2B/SS","SS","2B","@TOR - Merryweather - R"
"Trayce Thompson","OF","LAD",2700,2.26,0.8,"OF","","OF","@ARI - Kelly - R"
"Elehuris Montero","1B/3B","COL",2400,2.26,0.9,"1B/3B","3B","1B","@CWS - Kopech - R"
"Kole Calhoun","OF","TEX",2300,2.26,1,"OF","","OF","OAK - Waldichuk - L"
