"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Charlie Blackmon","OF","COL",4500,7.29,1.6,"OF","","OF","@CWS - Kopech - R"
"Travis d'Arnaud","C","ATL",4200,7.29,1.7,"C","","C","@SF - Junis - R"
"Seiya Suzuki","OF","CHC",5300,7.28,1.4,"OF","","OF","@NYM - deGrom - R"
"J.D. Martinez","OF","BOS",4700,7.25,1.5,"OF","","OF","NYY - Cole - R"
"Mike Brosseau","3B","MIL",2400,7.24,3,"3B","","3B","@STL - Montgomery - L"
"Trevor Story","2B","BOS",5100,7.22,1.4,"2B","","2B","NYY - Cole - R"
"James McCann","C","NYM",3500,7.2,2.1,"C","","C","CHC - Sampson - R"
"Raimel Tapia","OF","TOR",2600,7.18,2.8,"OF","","OF","TB - Springs - L"
"Matt Chapman","3B","TOR",4900,7.16,1.5,"3B","","3B","TB - Springs - L"
"Jonah Bride","2B","OAK",2000,7.15,3.6,"2B","","2B","@TEX - Ragans - L"
"Romy Gonzalez","2B","CWS",2500,7.12,2.8,"2B","","2B","COL - Kuhl - R"
"Luis Robert","OF","CWS",5000,7.1,1.4,"OF","","OF","COL - Kuhl - R"
"Christian Walker","1B","ARI",4400,7.1,1.6,"1B","","1B","LAD - Kershaw - L"
"Alejandro Kirk","C","TOR",5000,7.09,1.4,"C","","C","TB - Springs - L"
"Jorge Mateo","SS","BAL",3600,7.05,2,"SS","","SS","@WAS - Abbott - R"
"Wilmer Flores","2B/3B","SF",4500,7.04,1.6,"2B/3B","3B","2B","ATL - Wright - R"
