"Pos","Player","Team","Opp","Salary","Proj","Value"
"RB","Craig Reynolds","DET","@NE",5500,3.95,0.7
"TE","Taysom Hill","NO","SEA",6000,3.94,0.7
"TE","Quintin Morris","BUF","PIT",4200,3.85,0.9
"TE","Parker Hesse","ATL","@TB",4400,3.66,0.8
"WR","Dyami Brown","WAS","TEN",4600,3.61,0.8
"TE","Harrison Bryant","CLE","LAC",4600,3.51,0.8
"WR","Quez Watkins","PHI","@ARI",5000,3.26,0.7
"WR","David Bell","CLE","LAC",4800,3.19,0.7
"WR","Dante Pettis","CHI","@MIN",4900,3.14,0.6
"WR","KhaDarel Hodge","ATL","@TB",5000,3.13,0.6
"TE","Ian Thomas","CAR","SF",4400,3.11,0.7
"TE","Anthony Firkser","ATL","@TB",4300,3.07,0.7
"RB","Justin Jackson","DET","@NE",4800,3.03,0.6
"RB","Jaylen Warren","PIT","@BUF",4900,3,0.6
"RB","Joshua Kelley","LAC","@CLE",4900,2.95,0.6
"WR","Tre'Quan Smith","NO","SEA",4900,2.95,0.6
"RB","James Cook","BUF","PIT",4700,2.95,0.6
"TE","Jordan Akins","HOU","@JAX",4400,2.95,0.7
"WR","Jamal Agnew","JAX","HOU",5300,2.93,0.6
"WR","Tom Kennedy","DET","@NE",4900,2.9,0.6
"RB","Darrel Williams","ARI","PHI",5000,2.85,0.6
"WR","Trent Sherfield","MIA","@NYJ",5000,2.84,0.6
"WR","Lil'Jordan Humphrey","NE","DET",4700,2.84,0.6
"TE","Geoff Swaim","TEN","@WAS",4400,2.72,0.6
"TE","C.J. Uzomah","NYJ","MIA",4300,2.57,0.6
"WR","Braxton Berrios","NYJ","MIA",4600,2.56,0.6
"TE","John Bates","WAS","TEN",4400,2.56,0.6
"TE","Durham Smythe","MIA","@NYJ",4300,2.54,0.6
"TE","Adam Trautman","NO","SEA",4500,2.52,0.6
"TE","Ross Dwelley","SF","@CAR",4500,2.51,0.6
"WR","Marquise Goodwin","SEA","@NO",4700,2.5,0.5
"RB","Reggie Gilliam","BUF","PIT",4500,2.45,0.5
"RB","Kyle Juszczyk","SF","@CAR",4600,2.43,0.5
"TE","Tommy Tremble","CAR","SF",4600,2.3,0.5
"WR","Cam Sims","WAS","TEN",4500,2.28,0.5
"TE","Ryan Griffin","CHI","@MIN",4200,2.19,0.5
"TE","Johnny Mundt","MIN","CHI",4300,2.18,0.5
"RB","Jordan Mason","SF","@CAR",5500,2.15,0.4
"WR","Damiere Byrd","ATL","@TB",4600,2.12,0.5
"WR","Zach Pascal","PHI","@ARI",4900,2.03,0.4
"WR","Bryan Edwards","ATL","@TB",4700,2.01,0.4
"RB","Boston Scott","PHI","@ARI",4700,1.99,0.4
"WR","D'Wayne Eskridge","SEA","@NO",4700,1.98,0.4
"RB","Ty Johnson","NYJ","MIA",4600,1.98,0.4
"TE","Colby Parkinson","SEA","@NO",4500,1.98,0.4
"RB","Chuba Hubbard","CAR","SF",5400,1.91,0.4
