"Player","Pos","Team","Salary","Proj","Value","ID","Opp","ML","OU","SPRD","IMP"
"Braxton Berrios","WR","NYJ",4800,1.92,0.4,"85598-52495","@MIA",-119,38.5,-1.5,20
"Kyle Juszczyk","RB","SF",4600,1.91,0.4,"85598-39428","ARI",-949,40.5,-14,27.2
"Khalil Shakir","WR","BUF",4900,1.75,0.4,"85598-86518","NE",-300,42.5,-7,24.8
"Raheem Blackshear","RB","CAR",4900,1.73,0.4,"85598-92590","@NO",149,42,3.5,19.2
"Racey McMath","WR","TEN",4700,1.69,0.4,"85598-85731","@JAX",227,40,6.5,16.8
"Alec Ingold","RB","MIA",4600,1.67,0.4,"85598-63717","NYJ",100,38.5,1.5,18.5
"Avery Williams","RB","ATL",4800,1.66,0.3,"85598-72772","TB",-198,40.5,-4,22.2
"Nick Vannett","TE","NYG",4100,1.66,0.4,"85598-28570","@PHI",633,43,14,14.5
"Craig Reynolds","RB","DET",4600,1.62,0.4,"85598-104424","@GB",190,49,4.5,22.2
"N'Keal Harry","WR","CHI",4900,1.57,0.3,"85598-69168","MIN",266,43.5,7.5,18
"Jalen Reagor","WR","MIN",5000,1.45,0.3,"85598-94625","@CHI",-333,43.5,-7.5,25.5
