"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"CHC","@COL - Freeland ( L )","Alfonso Rivas","Clint Frazier","Nico Hoerner",8400,27.6,3.3
"MIA","PHI - Gibson ( R )","Jacob Stallings","Jesus Aguilar","Joey Wendle",6800,27.6,4.1
"WSH","@PIT - Brubaker ( R )","Lucius Fox","Maikel Franco","Nelson Cruz",7600,27.6,3.6
"COL","CHC - Steele ( L )","Alan Trejo","Randal Grichuk","Ryan McMahon",9600,27.6,2.9
"PIT","WAS - Adon ( R )","Cole Tucker","Hoy Park","Yoshi Tsutsugo",6600,27.6,4.2
"PHI","@MIA - Alcantara ( R )","Bryson Stott","Kyle Schwarber","Matt Vierling",7700,27.6,3.6
"SD","ATL - Morton ( R )","Eric Hosmer","Jake Cronenworth","Luke Voit",9000,27.6,3.1
"COL","CHC - Steele ( L )","Connor Joe","Dom Nunez","Randal Grichuk",9100,27.6,3
"PIT","WAS - Adon ( R )","Kevin Newman","Roberto Perez","Yoshi Tsutsugo",7000,27.6,3.9
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Josh Bell","Riley Adams",7500,27.6,3.7
"COL","CHC - Steele ( L )","Charlie Blackmon","Garrett Hampson","Ryan McMahon",10000,27.6,2.8
"LAD","CIN - Cessa ( R )","Edwin Rios","Max Muncy","Trea Turner",8500,27.6,3.2
"CIN","@LAD - Buehler ( R )","Jonathan India","Tyler Naquin","Tyler Stephenson",9200,27.6,3
"PIT","WAS - Adon ( R )","Bryan Reynolds","Dan Vogelbach","Josh VanMeter",7100,27.6,3.9
"LAA","@TEX - Dunning ( R )","Brandon Marsh","Jared Walsh","Kurt Suzuki",7900,27.5,3.5
