"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"DET","@KC - Greinke ( R )","Austin Meadows","Eric Haase","Robbie Grossman",8000,28.4,3.5
"ATL","@SD - Musgrove ( R )","Adam Duvall","Ozzie Albies","Travis d'Arnaud",10000,28.4,2.8
"MIA","PHI - Gibson ( R )","Jesus Aguilar","Joey Wendle","Miguel Rojas",6500,28.4,4.4
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Nelson Cruz","Riley Adams",7500,28.4,3.8
"COL","CHC - Steele ( L )","Alan Trejo","Elias Diaz","Kris Bryant",9600,28.4,3
"PHI","@MIA - Alcantara ( R )","Didi Gregorius","Matt Vierling","Rhys Hoskins",8000,28.4,3.5
"COL","CHC - Steele ( L )","Charlie Blackmon","Connor Joe","Sam Hilliard",9400,28.3,3
"ATL","@SD - Musgrove ( R )","Dansby Swanson","Matt Olson","Travis d'Arnaud",10000,28.3,2.8
"PIT","WAS - Adon ( R )","Ben Gamel","Cole Tucker","Kevin Newman",6700,28.3,4.2
"LAD","CIN - Cessa ( R )","Gavin Lux","Mookie Betts","Will Smith",9700,28.3,2.9
"COL","CHC - Steele ( L )","Charlie Blackmon","Kris Bryant","Yonathan Daza",9800,28.3,2.9
"MIA","PHI - Gibson ( R )","Garrett Cooper","Jacob Stallings","Jazz Chisholm Jr.",8300,28.3,3.4
"COL","CHC - Steele ( L )","C.J. Cron","Dom Nunez","Randal Grichuk",9700,28.3,2.9
"COL","CHC - Steele ( L )","Brendan Rodgers","Garrett Hampson","Ryan McMahon",9700,28.3,2.9
"CHC","@COL - Freeland ( L )","Jason Heyward","Nick Madrigal","Seiya Suzuki",8900,28.3,3.2
"LAD","CIN - Cessa ( R )","Gavin Lux","Hanser Alberto","Trea Turner",8300,28.3,3.4
"PIT","WAS - Adon ( R )","Cole Tucker","Kevin Newman","Yoshi Tsutsugo",6800,28.3,4.2
"PHI","@MIA - Alcantara ( R )","Jean Segura","Matt Vierling","Rhys Hoskins",9000,28.3,3.1
"COL","CHC - Steele ( L )","Connor Joe","Elias Diaz","Sam Hilliard",9200,28.3,3.1
"NYY","TOR - Gausman ( R )","Aaron Hicks","Anthony Rizzo","DJ LeMahieu",9100,28.3,3.1
"CHC","@COL - Freeland ( L )","Alfonso Rivas","Clint Frazier","Nick Madrigal",8000,28.3,3.5
"ATL","@SD - Musgrove ( R )","Alex Dickerson","Eddie Rosario","Marcell Ozuna",7900,28.3,3.6
"COL","CHC - Steele ( L )","Elias Diaz","Kris Bryant","Yonathan Daza",9600,28.3,2.9
"NYY","TOR - Gausman ( R )","Anthony Rizzo","DJ LeMahieu","Kyle Higashioka",8900,28.2,3.2
"CHC","@COL - Freeland ( L )","Clint Frazier","Nick Madrigal","Rafael Ortega",8400,28.2,3.4
"WSH","@PIT - Brubaker ( R )","Dee Strange-Gordon","Juan Soto","Victor Robles",8300,28.2,3.4
"COL","CHC - Steele ( L )","Charlie Blackmon","Dom Nunez","Kris Bryant",9800,28.2,2.9
"PIT","WAS - Adon ( R )","Cole Tucker","Dan Vogelbach","Hoy Park",6400,28.2,4.4
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Kurt Suzuki","Mike Trout",9300,28.2,3
"CIN","@LAD - Buehler ( R )","Jonathan India","Tommy Pham","Tyler Naquin",8900,28.2,3.2
"PIT","WAS - Adon ( R )","Dan Vogelbach","Kevin Newman","Roberto Perez",6800,28.2,4.2
"CHC","@COL - Freeland ( L )","Michael Hermosillo","Patrick Wisdom","Yan Gomes",8100,28.2,3.5
"DET","@KC - Greinke ( R )","Akil Baddoo","Austin Meadows","Victor Reyes",7500,28.2,3.8
"COL","CHC - Steele ( L )","Alan Trejo","Brendan Rodgers","Connor Joe",9000,28.2,3.1
"COL","CHC - Steele ( L )","Alan Trejo","C.J. Cron","Charlie Blackmon",9900,28.2,2.8
"MIA","PHI - Gibson ( R )","Jacob Stallings","Jazz Chisholm Jr.","Jesus Sanchez",8900,28.2,3.2
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Jose Rojas","Matt Duffy",7300,28.2,3.9
"NYY","TOR - Gausman ( R )","Aaron Hicks","Josh Donaldson","Kyle Higashioka",7400,28.2,3.8
"ATL","@SD - Musgrove ( R )","Alex Dickerson","Austin Riley","Dansby Swanson",8900,28.2,3.2
"TOR","@NYY - Severino ( R )","Raimel Tapia","Vladimir Guerrero Jr.","Zack Collins",8700,28.2,3.2
"CHC","@COL - Freeland ( L )","Jason Heyward","Michael Hermosillo","Willson Contreras",8900,28.2,3.2
"SD","ATL - Morton ( R )","Jurickson Profar","Manny Machado","Trent Grisham",9500,28.2,3
"CIN","@LAD - Buehler ( R )","Jake Fraley","Joey Votto","Tyler Naquin",8000,28.2,3.5
"COL","CHC - Steele ( L )","Dom Nunez","Elias Diaz","Kris Bryant",9600,28.2,2.9
"PHI","@MIA - Alcantara ( R )","Bryce Harper","Bryson Stott","Matt Vierling",8300,28.2,3.4
"KC","DET - Mize ( R )","Andrew Benintendi","Michael A. Taylor","Nicky Lopez",7700,28.2,3.7
"SD","ATL - Morton ( R )","Austin Nola","Jake Cronenworth","Manny Machado",9800,28.2,2.9
"CIN","@LAD - Buehler ( R )","Joey Votto","Jonathan India","Tyler Stephenson",9700,28.2,2.9
"COL","CHC - Steele ( L )","Charlie Blackmon","Ryan McMahon","Sam Hilliard",9900,28.2,2.8
"SD","ATL - Morton ( R )","Jake Cronenworth","Luke Voit","Trent Grisham",8900,28.2,3.2
"CHC","@COL - Freeland ( L )","Clint Frazier","Ian Happ","Jason Heyward",9200,28.2,3.1
"CHC","@COL - Freeland ( L )","Ian Happ","Nick Madrigal","Yan Gomes",8800,28.2,3.2
"WSH","@PIT - Brubaker ( R )","Juan Soto","Lucius Fox","Victor Robles",8300,28.2,3.4
"LAD","CIN - Cessa ( R )","Edwin Rios","Freddie Freeman","Trea Turner",9100,28.2,3.1
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Dee Strange-Gordon","Nelson Cruz",7500,28.2,3.8
"WSH","@PIT - Brubaker ( R )","Keibert Ruiz","Nelson Cruz","Yadiel Hernandez",8200,28.2,3.4
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Jack Mayfield","Mike Trout",9700,28.1,2.9
"COL","CHC - Steele ( L )","Alan Trejo","C.J. Cron","Elias Diaz",9700,28.1,2.9
"DET","@KC - Greinke ( R )","Austin Meadows","Robbie Grossman","Victor Reyes",7800,28.1,3.6
"TEX","LAA - Ohtani ( R )","Adolis Garcia","Andy Ibanez","Nate Lowe",7800,28.1,3.6
"DET","@KC - Greinke ( R )","Austin Meadows","Eric Haase","Javier Baez",8800,28.1,3.2
"COL","CHC - Steele ( L )","Brendan Rodgers","Connor Joe","Yonathan Daza",9000,28.1,3.1
"COL","CHC - Steele ( L )","C.J. Cron","Charlie Blackmon","Yonathan Daza",9900,28.1,2.8
"LAA","@TEX - Dunning ( R )","Andrew Velazquez","Jo Adell","Matt Duffy",6600,28.1,4.3
"ATL","@SD - Musgrove ( R )","Dansby Swanson","Eddie Rosario","Marcell Ozuna",8700,28.1,3.2
"COL","CHC - Steele ( L )","Elias Diaz","Ryan McMahon","Sam Hilliard",9700,28.1,2.9
"NYY","TOR - Gausman ( R )","Anthony Rizzo","Giancarlo Stanton","Isiah Kiner-Falefa",9500,28.1,3
"SD","ATL - Morton ( R )","Manny Machado","Trent Grisham","Wil Myers",9100,28.1,3.1
"LAA","@TEX - Dunning ( R )","Jo Adell","Jose Rojas","Max Stassi",6600,28.1,4.3
