"Team1","Team2","Player1","Player2","Player3","Player4","Salary","Proj","Value"
"PHI","TB","Nick Castellanos","Rhys Hoskins","Mike Zunino","Wander Franco",13700,59,4.3
"MIL","PHI","Hunter Renfroe","Kolten Wong","Bryce Harper","Nick Castellanos",13500,59,4.4
"HOU","PHI","Jose Altuve","Yuli Gurriel","Bryce Harper","Nick Castellanos",14200,59,4.2
"PHI","TB","Bryce Harper","Rhys Hoskins","Mike Zunino","Yandy Diaz",12700,58.9,4.6
"PHI","TB","J.T. Realmuto","Nick Castellanos","Randy Arozarena","Wander Franco",14400,58.9,4.1
"MIL","PHI","Hunter Renfroe","Kolten Wong","Bryce Harper","Rhys Hoskins",13200,58.9,4.5
"HOU","PHI","Jose Altuve","Yuli Gurriel","Bryce Harper","Rhys Hoskins",13900,58.9,4.2
"PHI","TB","Bryce Harper","Kyle Schwarber","Randy Arozarena","Wander Franco",13900,58.9,4.2
"KC","PHI","Salvador Perez","Whit Merrifield","Bryce Harper","Nick Castellanos",14400,58.9,4.1
"PHI","TB","Bryce Harper","J.T. Realmuto","Randy Arozarena","Yandy Diaz",13400,58.8,4.4
"PHI","TB","Bryce Harper","Nick Castellanos","Brandon Lowe","Yandy Diaz",14300,58.8,4.1
"HOU","PHI","Yordan Alvarez","Yuli Gurriel","Bryce Harper","Nick Castellanos",14700,58.8,4
"MIL","PHI","Hunter Renfroe","Willy Adames","Bryce Harper","J.T. Realmuto",13700,58.8,4.3
"PHI","TB","J.T. Realmuto","Rhys Hoskins","Randy Arozarena","Wander Franco",14100,58.8,4.2
"MIN","PHI","Jorge Polanco","Max Kepler","Bryce Harper","Nick Castellanos",14300,58.8,4.1
"KC","PHI","Salvador Perez","Whit Merrifield","Bryce Harper","Rhys Hoskins",14100,58.8,4.2
"PHI","TB","Bryce Harper","J.T. Realmuto","Manuel Margot","Wander Franco",14500,58.8,4.1
"HOU","PHI","Kyle Tucker","Yuli Gurriel","Bryce Harper","Nick Castellanos",14300,58.7,4.1
"PHI","TB","Bryce Harper","Johan Camargo","Mike Zunino","Wander Franco",12500,58.7,4.7
"MIL","PHI","Kolten Wong","Willy Adames","Bryce Harper","Nick Castellanos",13700,58.7,4.3
"PHI","TB","Bryce Harper","Nick Castellanos","Harold Ramirez","Wander Franco",14100,58.7,4.2
"PHI","TB","Bryce Harper","Rhys Hoskins","Brandon Lowe","Yandy Diaz",14000,58.7,4.2
"HOU","PHI","Yordan Alvarez","Yuli Gurriel","Bryce Harper","Rhys Hoskins",14400,58.7,4.1
"MIL","PHI","Andrew McCutchen","Hunter Renfroe","Bryce Harper","J.T. Realmuto",13600,58.7,4.3
"BOS","PHI","Bobby Dalbec","Rafael Devers","Bryce Harper","Rhys Hoskins",14700,58.7,4
"BOS","PHI","Bobby Dalbec","Trevor Story","Bryce Harper","J.T. Realmuto",13700,58.7,4.3
"HOU","PHI","Jose Altuve","Kyle Tucker","Bryce Harper","J.T. Realmuto",14600,58.7,4
"MIL","PHI","Christian Yelich","Hunter Renfroe","Bryce Harper","J.T. Realmuto",13700,58.7,4.3
"MIN","PHI","Jorge Polanco","Max Kepler","Bryce Harper","Rhys Hoskins",14000,58.7,4.2
"BOS","PHI","Bobby Dalbec","Xander Bogaerts","Bryce Harper","J.T. Realmuto",14200,58.6,4.1
"PHI","TB","Bryce Harper","Jean Segura","Wander Franco","Yandy Diaz",14100,58.6,4.2
"BOS","PHI","Bobby Dalbec","Enrique Hernandez","Bryce Harper","Nick Castellanos",14300,58.6,4.1
"HOU","PHI","Kyle Tucker","Yuli Gurriel","Bryce Harper","Rhys Hoskins",14000,58.6,4.2
"PHI","TB","Bryce Harper","Nick Castellanos","Manuel Margot","Randy Arozarena",13900,58.6,4.2
"BOS","PHI","Enrique Hernandez","Trevor Story","Bryce Harper","J.T. Realmuto",14500,58.6,4
"MIL","PHI","Andrew McCutchen","Kolten Wong","Bryce Harper","Nick Castellanos",13600,58.6,4.3
"MIL","PHI","Kolten Wong","Willy Adames","Bryce Harper","Rhys Hoskins",13400,58.6,4.4
"PHI","TB","Bryce Harper","Rhys Hoskins","Harold Ramirez","Wander Franco",13800,58.6,4.2
"BOS","PHI","Bobby Dalbec","J.D. Martinez","Bryce Harper","J.T. Realmuto",14400,58.6,4.1
"MIL","PHI","Christian Yelich","Kolten Wong","Bryce Harper","Nick Castellanos",13700,58.6,4.3
"LAA","PHI","Shohei Ohtani","Taylor Ward","Bryce Harper","Rhys Hoskins",14700,58.5,4
"BOS","PHI","Bobby Dalbec","Enrique Hernandez","Bryce Harper","Rhys Hoskins",14000,58.5,4.2
"PHI","TB","Bryce Harper","Rhys Hoskins","Manuel Margot","Randy Arozarena",13600,58.5,4.3
"PHI","TB","Nick Castellanos","Rhys Hoskins","Wander Franco","Yandy Diaz",14000,58.5,4.2
"MIL","PHI","Andrew McCutchen","Kolten Wong","Bryce Harper","Rhys Hoskins",13300,58.5,4.4
"KC","PHI","Adalberto Mondesi","Salvador Perez","Bryce Harper","Nick Castellanos",14300,58.5,4.1
"MIL","PHI","Christian Yelich","Kolten Wong","Bryce Harper","Rhys Hoskins",13400,58.5,4.4
"COL","PHI","C.J. Cron","Sam Hilliard","Bryce Harper","J.T. Realmuto",14900,58.5,3.9
