"Player","Pos","Team","Salary","Proj","projVal","ID","Opp","ML","OU","SPRD","IMP","Actual","actVal"
"Ezekiel Elliott","RB","DAL",6200,10.35,1.7,"81443-38791","@LAR",193,42.5,5.5,18.5,7.8,1.3
"Zach Ertz","TE","ARI",5900,8.93,1.5,"81443-29780","PHI",184,48.5,5.5,21.5,7.8,1.3
"Baker Mayfield","QB","CAR",6400,12.87,2,"81443-41535","SF",217,40,6.5,16.8,7.6,1.2
"Samaje Perine","RB","CIN",5200,3.7,0.7,"81443-52451",NA,NA,NA,NA,NA,7.6,1.5
"Chase Claypool","WR","PIT",5600,6.73,1.2,"81443-73111","@BUF",583,45.5,14,15.8,7.5,1.3
"Miles Sanders","RB","PHI",7600,12.23,1.6,"81443-71845","@ARI",-230,48.5,-5.5,27,7.4,1
"Hunter Henry","TE","NE",4500,5.32,1.2,"81443-40845","DET",-157,46.5,-3,24.8,7.4,1.6
"Durham Smythe","TE","MIA",4300,2.67,0.6,"81443-42046","@NYJ",-182,46,-3.5,24.8,7.4,1.7
"Velus Jones","WR","CHI",4500,1.98,0.4,"81443-70661","@MIN",281,44,7.5,18.2,7.4,1.6
"Brandon Aiyuk","WR","SF",5900,9.91,1.7,"81443-85798","@CAR",-267,40,-6.5,23.2,7.3,1.2
"Cade Otton","TE","TB",4100,5.3,1.3,"81443-86811","ATL",-466,46.5,-10,28.2,7.3,1.8
"Ben Skowronek","WR","LAR",5300,5.07,1,"81443-71105","DAL",-235,42.5,-5.5,24,7.1,1.3
"Donovan Peoples-Jones","WR","CLE",5400,7.45,1.4,"81443-91426","LAC",104,47,2,22.5,7,1.3
"Kalif Raymond","WR","DET",5100,5.17,1,"81443-70422","@NE",134,46.5,3,21.8,7,1.4
"Jared Goff","QB","DET",8000,16.81,2.1,"81443-38435","@NE",134,46.5,3,21.8,6.9,0.9
"James Conner","RB","ARI",6700,11.61,1.7,"81443-40687","PHI",184,48.5,5.5,21.5,6.8,1
"KhaDarel Hodge","WR","ATL",5000,3.13,0.6,"81443-85306","@TB",360,46.5,10,18.2,6.8,1.4
"Zach Gentry","TE","PIT",4300,1.45,0.3,"81443-64221","@BUF",583,45.5,14,15.8,6.8,1.6
"K.J. Osborn","WR","MIN",5200,6.19,1.2,"81443-63855","CHI",-350,44,-7.5,25.8,6.6,1.3
"Jalen Reagor","WR","MIN",4700,1.46,0.3,"81443-94625","CHI",-350,44,-7.5,25.8,6.6,1.4
"Cole Kmet","TE","CHI",4600,5.01,1.1,"81443-91047","@MIN",281,44,7.5,18.2,6.5,1.4
"Michael Gallup","WR","DAL",6000,7.68,1.3,"81443-69956","@LAR",193,42.5,5.5,18.5,6.4,1.1
"Noah Fant","TE","SEA",4800,4.38,0.9,"81443-71705","@NO",190,45.5,5.5,20,6.4,1.3
"Darnell Mooney","WR","CHI",5800,8.52,1.5,"81443-69777","@MIN",281,44,7.5,18.2,6.2,1.1
"J.D. McKissic","RB","WAS",5100,7.64,1.5,"81443-43334","TEN",-106,43,0.5,21.2,6.2,1.2
"Irv Smith","TE","MIN",4700,6.5,1.4,"81443-72725","CHI",-350,44,-7.5,25.8,6.2,1.3
"Isaiah Hodgins","WR","BUF",4500,1.92,0.4,"81443-93055","PIT",-860,45.5,-14,29.8,6.1,1.4
"Davis Mills","QB","HOU",6400,14.25,2.2,"81443-89628","@JAX",261,43.5,7,18.2,5.8,0.9
