"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP"
"Deon Jackson","RB","IND",5600,10.99,2,"92765-93134","JAX",45,5,20
"Mike Williams","WR","LAC",7100,10.97,1.5,"92765-39829","MIA",51,-3,27
"Dameon Pierce","RB","HOU",6200,10.97,1.8,"92765-86055","@BAL",43.5,10,16.75
"Javonte Williams","RB","DEN",6500,10.57,1.6,"92765-93541","LV",44,-4,24
"D.J. Moore","WR","CHI",6300,10.56,1.7,"92765-63043","GB",43,-1,22
"DeAndre Hopkins","WR","TEN",7500,10.35,1.4,"92765-16606","@NO",41,3,19
"Michael Pittman","WR","IND",6600,10.3,1.6,"92765-69213","JAX",45,5,20
"Khalil Herbert","RB","CHI",6100,10.25,1.7,"92765-72412","GB",43,-1,22
"Jamaal Williams","RB","NO",6800,9.99,1.5,"92765-45631","TEN",41,-3,22
"Drake London","WR","ATL",6200,9.96,1.6,"92765-112745","CAR",39.5,-3.5,21.5
"T.J. Hockenson","TE","MIN",7200,9.95,1.4,"92765-71706","TB",45.5,-6,25.75
"Courtland Sutton","WR","DEN",5900,9.79,1.7,"92765-57403","LV",44,-4,24
"Diontae Johnson","WR","PIT",6400,9.73,1.5,"92765-66008","SF",41,2.5,19.25
"Brandon Aiyuk","WR","SF",6600,9.54,1.4,"92765-85798","@PIT",41,-2.5,21.75
"Michael Thomas","WR","NO",6000,9.54,1.6,"92765-28573","TEN",41,-3,22
"JuJu Smith-Schuster","WR","NE",5800,9.05,1.6,"92765-55987","PHI",45,4,20.5
"Marquise Brown","WR","ARI",6500,9.03,1.4,"92765-86687","@WAS",38,7,15.5
"Samaje Perine","RB","DEN",6000,8.98,1.5,"92765-52451","LV",44,-4,24
"D'Andre Swift","RB","PHI",6300,8.84,1.4,"92765-91598","@NE",45,-4,24.5
"George Kittle","TE","SF",6600,8.72,1.3,"92765-39793","@PIT",41,-2.5,21.75
"Treylon Burks","WR","TEN",5700,8.66,1.5,"92765-110259","@NO",41,3,19
"George Pickens","WR","PIT",5800,8.57,1.5,"92765-110246","SF",41,2.5,19.25
"Vikings","D","MIN",4800,8.51,1.8,"92765-12540","TB",45.5,-6,25.75
"Ravens","D","BAL",5000,8.45,1.7,"92765-12555","HOU",43.5,-10,26.75
"Jordan Addison","WR","MIN",5500,8.37,1.5,"92765-129210","TB",45.5,-6,25.75
"Dallas Goedert","TE","PHI",6400,8.29,1.3,"92765-83074","@NE",45,-4,24.5
"AJ Dillon","RB","GB",6100,8.28,1.4,"92765-93107","@CHI",43,1,21
"Washington","D","WAS",4900,8.28,1.7,"92765-12552","ARI",38,-7,22.5
"Jakobi Meyers","WR","LV",5700,8.25,1.4,"92765-63634","@DEN",44,4,20
"49ers","D","SF",4700,8.01,1.7,"92765-12549","@PIT",41,-2.5,21.75
"Packers","D","GB",4100,7.96,1.9,"92765-12533","@CHI",43,1,21
"Eagles","D","PHI",4600,7.88,1.7,"92765-12545","@NE",45,-4,24.5
"Kyle Pitts","TE","ATL",6000,7.8,1.3,"92765-86080","CAR",39.5,-3.5,21.5
"Nico Collins","WR","HOU",5800,7.79,1.3,"92765-91419","@BAL",43.5,10,16.75
