"Player","Pos","Team","Salary","Proj","Value","ID","Opp","ML","OU","SPRD","IMP"
"Brandon Bolden","RB","NE",5000,5.27,1.1,"70039-22898","@BUF",182,43.5,4.5,19.5
"49ers","D","SF",3700,5.26,1.4,"70039-12549","@DAL",137,51,3,24
"Rondale Moore","WR","ARI",5000,5.2,1,"70039-93408","@LAR",161,49.5,4,22.8
"Antoine Wesley","WR","ARI",5200,5.16,1,"70039-72133","@LAR",161,49.5,4,22.8
"Quez Watkins","WR","PHI",5100,5.09,1,"70039-73687","@TB",303,45.5,8.5,18.5
"Jauan Jennings","WR","SF",5200,4.94,1,"70039-61593","@DAL",137,51,3,24
"Ray-Ray McCloud III","WR","PIT",4900,4.55,0.9,"70039-62055","@KC",498,46,12.5,16.8
"Raymond Calais","RB","LAR",4500,4.5,1,"70039-72091","ARI",-193,49.5,-4,26.8
"Dax Raymond","TE","PIT",4000,4.5,1.1,"70039-65492","@KC",498,46,12.5,16.8
"Bryan Edwards","WR","LV",5100,4.32,0.8,"70039-69276","@CIN",208,48.5,6,21.2
"Jordan Howard","RB","PHI",5200,4.28,0.8,"70039-42142","@TB",303,45.5,8.5,18.5
"Eagles","D","PHI",3300,4.17,1.3,"70039-12545","@TB",303,45.5,8.5,18.5
"Jalen Reagor","WR","PHI",4900,4.06,0.8,"70039-94625","@TB",303,45.5,8.5,18.5
"Cameron Brate","TE","TB",4600,4.02,0.9,"70039-54782","PHI",-385,45.5,-8.5,27
"Steelers","D","PIT",3100,4,1.3,"70039-12547","@KC",498,46,12.5,16.8
"Derrick Gore","RB","KC",5400,3.9,0.7,"70039-64575","PIT",-713,46,-12.5,29.2
"Samaje Perine","RB","CIN",5100,3.68,0.7,"70039-52451","LV",-255,48.5,-6,27.2
"Kyle Juszczyk","RB","SF",4500,3.56,0.8,"70039-39428","@DAL",137,51,3,24
"Jonnu Smith","TE","NE",4500,3.51,0.8,"70039-48116","@BUF",182,43.5,4.5,19.5
"Scotty Miller","WR","TB",5200,3.46,0.7,"70039-61273","PHI",-385,45.5,-8.5,27
"Foster Moreau","TE","LV",4700,3.42,0.7,"70039-60712","@CIN",208,48.5,6,21.2
"Boston Scott","RB","PHI",5900,3.35,0.6,"70039-43433","@TB",303,45.5,8.5,18.5
"Jalen Richard","RB","LV",4700,3.3,0.7,"70039-33578","@CIN",208,48.5,6,21.2
"Zack Moss","RB","BUF",5200,3.29,0.6,"70039-70027","NE",-219,43.5,-4.5,24
"Isaiah McKenzie","WR","BUF",4800,3.29,0.7,"70039-53639","NE",-219,43.5,-4.5,24
"Demarcus Robinson","WR","KC",5000,3.22,0.6,"70039-38264","PIT",-713,46,-12.5,29.2
"DeSean Jackson","WR","LV",4900,3.2,0.7,"70039-6739","@CIN",208,48.5,6,21.2
"Jerick McKinnon","RB","KC",5200,2.99,0.6,"70039-54608","PIT",-713,46,-12.5,29.2
"Ke'Shawn Vaughn","RB","TB",5400,2.98,0.6,"70039-63078","PHI",-385,45.5,-8.5,27
"James Washington","WR","PIT",4800,2.69,0.6,"70039-55748","@KC",498,46,12.5,16.8
"Blake Jarwin","TE","DAL",4300,2.69,0.6,"70039-27527","SF",-162,51,-3,27
