"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP","Roster"
"Pharaoh Brown","TE","SEA",4300,1.75,0.4,"105738-29411","DEN",42,-5.5,23.75,0
"Will Mallory","TE","IND",4200,1.74,0.4,"105738-94116","HOU",49,2.5,23.25,0
"Mo Alie-Cox","TE","IND",4600,1.72,0.4,"105738-24533","HOU",49,2.5,23.25,0.41
"John Metchie","WR","HOU",4100,1.66,0.4,"105738-102696","@IND",49,-2.5,25.75,0
"Tyler Scott","WR","CHI",4400,1.64,0.4,"105738-129240","TEN",45.5,-4.5,25,1.59
"Trent Sherfield Sr.","WR","MIN",4100,1.63,0.4,"105738-56059","@NYG",41.5,-1,21.25,NA
"Dylan Laube","RB","LV",4300,1.57,0.4,"105738-201230","@LAC",41,3.5,18.75,0
"Luke Schoonmaker","TE","DAL",4500,1.56,0.3,"105738-91417","@CLE",42,2.5,19.75,0.05
"Drew Sample","TE","CIN",4200,1.5,0.4,"105738-56711","NE",40.5,-9,24.75,0.15
"Jordan Akins","TE","CLE",4500,1.49,0.3,"105738-57338","DAL",42,-2.5,22.25,0.51
"Brock Wright","TE","DET",4300,1.49,0.3,"105738-91046",NA,NA,NA,NA,0.37
"Ashton Dulin","WR","IND",4100,1.45,0.4,"105738-104012","HOU",49,2.5,23.25,0
