"Pos","Player","Team","Opp","Salary","Proj","Value","OU","SPRD","IMP","Roster"
"WR","Malik Nabers","NYG","MIN",6300,10.36,1.6,41.5,1,20.25,0
"RB","Jerome Ford","CLE","DAL",6200,10.28,1.7,42,-2.5,22.25,0.24
"WR","George Pickens","PIT","@ATL",6500,10.27,1.6,41,3,19,4.17
"WR","Calvin Ridley","TEN","@CHI",6200,10.18,1.6,45.5,4.5,20.5,7.09
"RB","Najee Harris","PIT","@ATL",6700,10.16,1.5,41,3,19,5.69
"RB","Tony Pollard","TEN","@CHI",6300,9.99,1.6,45.5,4.5,20.5,12.14
"RB","Devin Singletary","NYG","MIN",6300,9.96,1.6,41.5,1,20.25,0.71
"WR","Terry McLaurin","WAS","@TB",6200,9.77,1.6,43.5,3.5,20,7.95
"TE","Dalton Kincaid","BUF","ARI",6800,9.67,1.4,48,-6,27,3.37
"TE","Evan Engram","JAX","@MIA",6200,9.65,1.6,49.5,3,23.25,5.41
"RB","D'Andre Swift","CHI","TEN",6500,9.59,1.5,45.5,-4.5,25,5.56
"RB","Brian Robinson","WAS","@TB",5900,9.57,1.6,43.5,3.5,20,4.13
"TE","Trey McBride","ARI","@BUF",6400,9.5,1.5,48,6,21,2.24
"RB","Ezekiel Elliott","DAL","@CLE",5800,9.44,1.6,42,2.5,19.75,0.73
"RB","Zack Moss","CIN","NE",6900,9.3,1.3,40.5,-9,24.75,0
"WR","DeAndre Hopkins","TEN","@CHI",5900,9.3,1.6,45.5,4.5,20.5,5.5
"WR","Rome Odunze","CHI","TEN",5800,9.29,1.6,45.5,-4.5,25,0
"WR","Diontae Johnson","CAR","@NO",5600,9.29,1.7,40,4.5,17.75,7.74
"WR","Josh Palmer","LAC","LV",5000,9.16,1.8,41,-3.5,22.25,NA
"TE","Kyle Pitts","ATL","PIT",6300,9.12,1.4,41,-3,22,5.42
"RB","Chase Brown","CIN","NE",5400,9.06,1.7,40.5,-9,24.75,0
"RB","Austin Ekeler","WAS","@TB",5900,8.94,1.5,43.5,3.5,20,18.78
"WR","Brian Thomas","JAX","@MIA",5100,8.92,1.7,49.5,3,23.25,0
"WR","Tyler Lockett","SEA","DEN",6000,8.9,1.5,42,-5.5,23.75,6.54
"WR","Courtland Sutton","DEN","@SEA",5500,8.88,1.6,42,5.5,18.25,10.28
"WR","Curtis Samuel","BUF","ARI",5200,8.73,1.7,48,-6,27,3.32
"WR","Jordan Addison","MIN","@NYG",5700,8.68,1.5,41.5,-1,21.25,4.42
"WR","Jameson Williams","DET",NA,5800,8.64,1.5,NA,NA,NA,0
"RB","Jaylen Warren","PIT","@ATL",5700,8.63,1.5,41,3,19,0.74
"WR","Jaxon Smith-Njigba","SEA","DEN",5200,8.58,1.6,42,-5.5,23.75,4.31
