"Player","Pos","Team","Salary","Proj","Value","ID","OptPos","Pos2","Pos1","Opp","OU","SPRD","IMP","Roster"
"Jae'Sean Tate","SF/PF","HOU",3500,13.8,3.9,"33277660","SF/PF","PF","SF","POR",225,-12.5,118.75,4.05
"Christian Braun","SG/SF","DEN",4000,13.57,3.4,"33277522","SG/SF","SF","SG","MEM",213,-15.5,114.25,2.38
"Brice Sensabaugh","SF/PF","UTA",4600,13.4,2.9,"33277417","SF/PF","PF","SF","DAL",237.5,8.5,114.5,0.48
"Trent Forrest","PG","ATL",3500,13.01,3.7,"33277639","PG","","PG","BOS",225,10.5,107.25,0.5
"Garrison Mathews","SG/SF","ATL",3700,12.79,3.5,"33277571","SG/SF","SF","SG","BOS",225,10.5,107.25,2.4
"Reggie Jackson","PG","DEN",5100,12.22,2.4,"33277363","PG","","PG","MEM",213,-15.5,114.25,1.05
"Cedi Osman","SF/PF","SA",3100,12.22,3.9,"33277721","SF/PF","PF","SF","PHX",234,13,110.5,3.33
"Maxi Kleber","PF/C","DAL",4000,12,3,"33277541","PF/C","C","PF","@UTA",237.5,-8.5,123,2.54
"Ashton Hagans","PG","POR",3600,11.91,3.3,"33277621","PG","","PG","@HOU",225,12.5,106.25,0
"Johnny Davis","SG/SF","WAS",3400,11.86,3.5,"33277681","SG/SF","SF","SG","@CHI",226.5,12.5,107,4.66
"Blake Wesley","PG/SG","SA",3400,11.68,3.4,"33277667","PG/SG","SG","PG","PHX",234,13,110.5,2.26
"Tristan Thompson","C","CLE",3400,11.59,3.4,"33277691","C","","C","CHA",206.5,-11.5,109,0.6
"Oshae Brissett","PF","BOS",3700,11.58,3.1,"33277596","PF","","PF","@ATL",225,-10.5,117.75,0.67
"DeAndre Jordan","C","DEN",4500,11.53,2.6,"33277435","C","","C","MEM",213,-15.5,114.25,0.75
"DeJon Jarreau","PG","MEM",3600,11.28,3.1,"33277624","PG","","PG","@DEN",213,15.5,98.75,0.22
"Marcus Morris","SF/PF","CLE",3800,10.84,2.9,"33277563","SF/PF","PF","SF","CHA",206.5,-11.5,109,2.75
"Jericho Sims","C","NY",3100,10.81,3.5,"33277739","C","","C","DET",210.5,-17,113.75,0.53
"Buddy Boeheim","SG","DET",3000,10.73,3.6,"33278063","SG","","SG","@NYK",210.5,17,96.75,0.33
"Jalen McDaniels","SF/PF","TOR",3300,10.2,3.1,"33277696","SF/PF","PF","SF","BKN",219.5,6.5,106.5,2.23
"Moses Brown","C","POR",3000,10.13,3.4,"33278020","C","","C","@HOU",225,12.5,106.25,0
"Jared Rhoden","PF","DET",3400,10.02,2.9,"33277664","PF","","PF","@NYK",210.5,17,96.75,1.01
"Jaden Hardy","PG/SG","DAL",3500,9.26,2.6,"33277656","PG/SG","SG","PG","@UTA",237.5,-8.5,123,1.37
"Svi Mykhailiuk","SG/SF","BOS",3400,8.84,2.6,"33277686","SG/SF","SF","SG","@ATL",225,-10.5,117.75,2.36
"Mouhamadou Gueye","C","TOR",3200,8.38,2.6,"33277679","C","","C","BKN",219.5,6.5,106.5,0.13
"Garrett Temple","SF","TOR",3000,8.33,2.8,"33277869","SF","","SF","BKN",219.5,6.5,106.5,0.84
"Wesley Matthews","SG/SF","ATL",3200,8.09,2.5,"33277708","SG/SF","SF","SG","BOS",225,10.5,107.25,1.61
"Dylan Windler","PF","ATL",3100,7.6,2.5,"33277741","PF","","PF","BOS",225,10.5,107.25,0.65
"Justin Holiday","SG/SF","DEN",3100,7.47,2.4,"33277734","SG/SF","SF","SG","MEM",213,-15.5,114.25,1.25
"Onuralp Bitim","SG","CHI",3500,7.07,2,"33277650","SG","","SG","WAS",226.5,-12.5,119.5,0.05
"Johnny Juzang","SG/SF","UTA",3700,6.4,1.7,"33277606","SG/SF","SF","SG","DAL",237.5,8.5,114.5,0.95
"Trey Jemison","C","MEM",3800,5.28,1.4,"33277558","C","","C","@DEN",213,15.5,98.75,0.03
"Sandro Mamukelashvili","PF/C","SA",3000,5.28,1.8,"33277816","PF/C","C","PF","PHX",234,13,110.5,0
"Anthony Gill","PF/C","WAS",3500,5.27,1.5,"33277642","PF/C","C","PF","@CHI",226.5,12.5,107,0
"Kira Lewis","PG","UTA",3800,5.06,1.3,"33277560","PG","","PG","DAL",237.5,8.5,114.5,0.51
