Team,Player1,Player2
PHX,Deandre Ayton,JaVale McGee
BOS,Dennis Schroder,Marcus Smart
ATL,Cam Reddish,John Collins
ORL,Mo Bamba,R.J. Hampton
MEM,Ja Morant,Ziaire Williams
MIL,Bobby Portis,Pat Connaughton
ATL,Bogdan Bogdanovic,John Collins
PHI,Andre Drummond,Shake Milton
OKC,Jeremiah Robinson-Earl,Shai Gilgeous-Alexander
HOU,Christian Wood,Daniel Theis
PHI,Shake Milton,Tyrese Maxey
HOU,Jae'Sean Tate,Kevin Porter
SAC,Chimezie Metu,Richaun Holmes
PHX,Chris Paul,Landry Shamet
OKC,Darius Bazley,Josh Giddey
PHX,Devin Booker,Landry Shamet
MIL,Khris Middleton,Pat Connaughton
PHX,Cameron Johnson,Deandre Ayton
BKN,Cameron Thomas,Kevin Durant
MEM,Desmond Bane,Jaren Jackson
WAS,Daniel Gafford,Spencer Dinwiddie
ORL,Franz Wagner,Wendell Carter
SAC,Davion Mitchell,De'Aaron Fox
CHA,Gordon Hayward,Mason Plumlee
IND,Domantas Sabonis,Kelan Martin
BOS,Jayson Tatum,Romeo Langford
MEM,Jaren Jackson,Kyle Anderson
HOU,Alperen Sengun,Christian Wood
HOU,Jalen Green,Kevin Porter
IND,Justin Holiday,Malcolm Brogdon
SAC,Chimezie Metu,Tyrese Haliburton
SA,Derrick White,Keldon Johnson
CLE,Darius Garland,Dean Wade
WAS,Daniel Gafford,Kyle Kuzma
UTA,Bojan Bogdanovic,Mike Conley
MIN,Anthony Edwards,Jaden McDaniels
NO,Brandon Ingram,Herb Jones
ORL,Franz Wagner,Jalen Suggs
ORL,Chuma Okeke,Mo Bamba
ORL,R.J. Hampton,Wendell Carter
WAS,Daniel Gafford,Montrezl Harrell
NO,Devonte Graham,Nickeil Alexander-Walker
MIL,Jrue Holiday,Pat Connaughton
PHI,Charles Bassey,Tobias Harris
IND,Domantas Sabonis,Torrey Craig
OKC,Derrick Favors,Shai Gilgeous-Alexander
NO,Brandon Ingram,Jaxson Hayes
MEM,Jaren Jackson,Steven Adams
OKC,Shai Gilgeous-Alexander,Ty Jerome
UTA,Jordan Clarkson,Mike Conley
ORL,Jalen Suggs,R.J. Hampton
CHI,Lonzo Ball,Tony Bradley
MIN,D'Angelo Russell,Jaden McDaniels
PHX,Deandre Ayton,Landry Shamet
SA,Jakob Poeltl,Keldon Johnson
MIN,Anthony Edwards,Naz Reid
CHA,Jalen McDaniels,Miles Bridges
PHI,Georges Niang,Seth Curry
ORL,Mo Bamba,Terrence Ross
NO,Brandon Ingram,Tomas Satoransky
NO,Garrett Temple,Jonas Valanciunas
WAS,Kentavious Caldwell-Pope,Spencer Dinwiddie
HOU,Eric Gordon,Kevin Porter
WAS,Aaron Holiday,Bradley Beal
CHA,Gordon Hayward,Kelly Oubre
CLE,Dean Wade,Ricky Rubio
SA,Bryn Forbes,Dejounte Murray
CHA,Mason Plumlee,Terry Rozier
ORL,Chuma Okeke,Wendell Carter
WAS,Kentavious Caldwell-Pope,Kyle Kuzma
MIN,D'Angelo Russell,Naz Reid
CLE,Dean Wade,Jarrett Allen
WAS,Kentavious Caldwell-Pope,Montrezl Harrell
MEM,Desmond Bane,Kyle Anderson
ORL,Chuma Okeke,Jalen Suggs
ATL,Gorgui Dieng,Trae Young
SAC,Buddy Hield,Chimezie Metu
MIL,Bobby Portis,George Hill
HOU,Christian Wood,Kenyon Martin Jr.
IND,Myles Turner,T.J. McConnell
SA,Derrick White,Jakob Poeltl
IND,Kelan Martin,Malcolm Brogdon
OKC,Jeremiah Robinson-Earl,Josh Giddey
SAC,Davion Mitchell,Harrison Barnes
CLE,Kevin Love,Lauri Markkanen
OKC,Kenrich Williams,Shai Gilgeous-Alexander
ORL,Terrence Ross,Wendell Carter
PHI,Andre Drummond,Matisse Thybulle
MIL,George Hill,Khris Middleton
UTA,Bojan Bogdanovic,Jordan Clarkson
IND,Chris Duarte,Myles Turner
HOU,Jae'Sean Tate,Jalen Green
PHI,Matisse Thybulle,Tyrese Maxey
NO,Jonas Valanciunas,Trey Murphy
MEM,Ja Morant,Santi Aldama
ORL,Mo Bamba,Mychal Mulder
CLE,Darius Garland,Dylan Windler
MEM,Desmond Bane,Steven Adams
OKC,Darius Bazley,Luguentz Dort
SA,Devin Vassell,Keldon Johnson
WAS,Bradley Beal,Davis Bertans
PHI,Furkan Korkmaz,Seth Curry
CLE,Isaac Okoro,Lauri Markkanen
BOS,Al Horford,Josh Richardson
SAC,Davion Mitchell,Richaun Holmes
UTA,Mike Conley,Royce O'Neale
ORL,Jalen Suggs,Terrence Ross
CHA,Kelly Oubre,Terry Rozier
MEM,Kyle Anderson,Steven Adams
MIN,Anthony Edwards,Taurean Prince
IND,Malcolm Brogdon,Torrey Craig
CHA,Cody Martin,Gordon Hayward
CHI,Derrick Jones,Lonzo Ball
SA,Dejounte Murray,Tre Jones
OKC,Aleksej Pokusevski,Shai Gilgeous-Alexander
ATL,Clint Capela,Delon Wright
PHI,Furkan Korkmaz,Georges Niang
BOS,Al Horford,Grant Williams
BKN,LaMarcus Aldridge,Patrick Mills
MIL,George Hill,Jrue Holiday
ATL,Clint Capela,Lou Williams
IND,Caris LeVert,T.J. McConnell
NO,Brandon Ingram,Garrett Temple
HOU,Daniel Theis,Kevin Porter
SAC,Davion Mitchell,Tyrese Haliburton
OKC,Mike Muscala,Shai Gilgeous-Alexander
WAS,Deni Avdija,Spencer Dinwiddie
MIN,D'Angelo Russell,Taurean Prince
OKC,Derrick Favors,Josh Giddey
CLE,Isaac Okoro,Kevin Love
CHI,Coby White,Lonzo Ball
IND,Caris LeVert,Chris Duarte
ORL,Franz Wagner,R.J. Hampton
HOU,Eric Gordon,Jae'Sean Tate
IND,Domantas Sabonis,Goga Bitadze
IND,Justin Holiday,Myles Turner
OKC,Josh Giddey,Ty Jerome
UTA,Joe Ingles,Mike Conley
ORL,Mychal Mulder,Wendell Carter
CLE,Dylan Windler,Ricky Rubio
WAS,Deni Avdija,Kyle Kuzma
SA,Derrick White,Devin Vassell
UTA,Hassan Whiteside,Mike Conley
CHI,Javonte Green,Lonzo Ball
CHI,Ayo Dosunmu,Lonzo Ball
MEM,Brandon Clarke,Jaren Jackson
HOU,Alperen Sengun,Kevin Porter
WAS,Deni Avdija,Montrezl Harrell
PHI,Seth Curry,Shake Milton
ATL,Delon Wright,John Collins
ATL,John Collins,Lou Williams
HOU,Eric Gordon,Jalen Green
UTA,Mike Conley,Rudy Gay
CLE,Dylan Windler,Jarrett Allen
ORL,Jalen Suggs,Mychal Mulder
BOS,Jaylen Brown,Josh Richardson
SA,Keldon Johnson,Lonnie Walker
UTA,Bojan Bogdanovic,Royce O'Neale
PHI,Georges Niang,Shake Milton
PHX,Jae Crowder,Mikal Bridges
CHA,Cody Martin,Terry Rozier
CLE,Darius Garland,Denzel Valentine
WAS,Raul Neto,Spencer Dinwiddie
ORL,Chuma Okeke,Franz Wagner
SA,Doug McDermott,Keldon Johnson
NO,Brandon Ingram,Trey Murphy
IND,Caris LeVert,Justin Holiday
SA,Devin Vassell,Jakob Poeltl
CHI,Alex Caruso,Tony Bradley
PHI,Andre Drummond,Charles Bassey
BOS,Grant Williams,Jaylen Brown
CHA,Kelly Oubre,Mason Plumlee
PHI,Charles Bassey,Tyrese Maxey
WAS,Kyle Kuzma,Raul Neto
MIN,Jarred Vanderbilt,Patrick Beverley
UTA,Jordan Clarkson,Royce O'Neale
OKC,Josh Giddey,Kenrich Williams
ATL,Danilo Gallinari,Kevin Huerter
WAS,Montrezl Harrell,Raul Neto
ORL,Chuma Okeke,R.J. Hampton
SA,Drew Eubanks,Keldon Johnson
BKN,DeAndre Bembry,LaMarcus Aldridge
OKC,Jeremiah Robinson-Earl,Luguentz Dort
SAC,Buddy Hield,Davion Mitchell
OKC,Aaron Wiggins,Shai Gilgeous-Alexander
UTA,Bojan Bogdanovic,Joe Ingles
CHA,Gordon Hayward,Jalen McDaniels
MIL,Grayson Allen,Pat Connaughton
ATL,Cam Reddish,Kevin Huerter
MIL,Bobby Portis,Thanasis Antetokounmpo
SA,Derrick White,Lonnie Walker
BKN,Blake Griffin,LaMarcus Aldridge
NO,Herb Jones,Josh Hart
ORL,Franz Wagner,Terrence Ross
BOS,Josh Richardson,Robert Williams
UTA,Bojan Bogdanovic,Hassan Whiteside
ATL,Bogdan Bogdanovic,Kevin Huerter
MEM,Jaren Jackson,Tyus Jones
SAC,De'Aaron Fox,Tristan Thompson
IND,Kelan Martin,Myles Turner
HOU,Christian Wood,D.J. Augustin
HOU,Daniel Theis,Jae'Sean Tate
MIN,Malik Beasley,Patrick Beverley
CLE,Denzel Valentine,Ricky Rubio
BOS,Al Horford,Romeo Langford
SA,Derrick White,Doug McDermott
UTA,Bojan Bogdanovic,Rudy Gay
MIL,Khris Middleton,Thanasis Antetokounmpo
MEM,Brandon Clarke,Desmond Bane
PHX,Cameron Payne,Mikal Bridges
IND,Goga Bitadze,Malcolm Brogdon
OKC,Aleksej Pokusevski,Josh Giddey
UTA,Joe Ingles,Jordan Clarkson
BKN,DeAndre Bembry,Patrick Mills
NO,Jaxson Hayes,Josh Hart
SA,Keldon Johnson,Thaddeus Young
HOU,Kenyon Martin Jr.,Kevin Porter
BOS,Grant Williams,Robert Williams
PHI,Furkan Korkmaz,Shake Milton
MEM,Brandon Clarke,Kyle Anderson
ORL,R.J. Hampton,Terrence Ross
UTA,Hassan Whiteside,Jordan Clarkson
SAC,Alex Len,De'Aaron Fox
CLE,Denzel Valentine,Jarrett Allen
BKN,Blake Griffin,Patrick Mills
OKC,Josh Giddey,Mike Muscala
SAC,De'Aaron Fox,Marvin Bagley
CLE,Dean Wade,Lauri Markkanen
PHX,JaVale McGee,Mikal Bridges
HOU,Daniel Theis,Jalen Green
SA,Jakob Poeltl,Lonnie Walker
HOU,Alperen Sengun,Jae'Sean Tate
SA,Derrick White,Drew Eubanks
UTA,Jordan Clarkson,Rudy Gay
HOU,Christian Wood,Danuel House
NO,Josh Hart,Tomas Satoransky
IND,Myles Turner,Torrey Craig
WAS,Daniel Gafford,Kentavious Caldwell-Pope
MIL,Bobby Portis,Rodney Hood
OKC,Derrick Favors,Luguentz Dort
CHA,Cody Martin,Mason Plumlee
SAC,De'Aaron Fox,Maurice Harkless
ATL,Clint Capela,Gorgui Dieng
MIL,Jrue Holiday,Thanasis Antetokounmpo
OKC,Luguentz Dort,Ty Jerome
SA,Doug McDermott,Jakob Poeltl
IND,Caris LeVert,Kelan Martin
MIL,Khris Middleton,Rodney Hood
MEM,Brandon Clarke,Steven Adams
PHX,Cameron Johnson,Mikal Bridges
OKC,Darius Bazley,Jeremiah Robinson-Earl
CHA,Jalen McDaniels,Terry Rozier
CHI,Alex Caruso,Derrick Jones
ORL,Franz Wagner,Mychal Mulder
HOU,Alperen Sengun,Jalen Green
MEM,Jaren Jackson,John Konchar
HOU,Christian Wood,Garrison Mathews
CLE,Dean Wade,Kevin Love
PHI,Matisse Thybulle,Seth Curry
BOS,Dennis Schroder,Josh Richardson
SAC,Chimezie Metu,Davion Mitchell
ATL,Cam Reddish,Danilo Gallinari
SA,Derrick White,Thaddeus Young
NO,Herb Jones,Nickeil Alexander-Walker
ORL,Chuma Okeke,Terrence Ross
BOS,Josh Richardson,Marcus Smart
WAS,Aaron Holiday,Spencer Dinwiddie
ATL,Bogdan Bogdanovic,Danilo Gallinari
MEM,Jaren Jackson,Xavier Tillman
SA,Drew Eubanks,Jakob Poeltl
ORL,Mo Bamba,Moritz Wagner
BOS,Jaylen Brown,Romeo Langford
CHI,Alex Caruso,Coby White
CLE,Dean Wade,Isaac Okoro
HOU,Daniel Theis,Eric Gordon
ATL,Gorgui Dieng,John Collins
PHX,Cameron Payne,Jae Crowder
MEM,Desmond Bane,Tyus Jones
PHI,Georges Niang,Matisse Thybulle
BOS,Dennis Schroder,Grant Williams
IND,Caris LeVert,Torrey Craig
ATL,Bogdan Bogdanovic,Cam Reddish
NO,Devonte Graham,Herb Jones
ORL,Mychal Mulder,R.J. Hampton
MEM,Jaren Jackson,Ziaire Williams
NO,Jaxson Hayes,Nickeil Alexander-Walker
MIL,Jrue Holiday,Rodney Hood
WAS,Aaron Holiday,Kyle Kuzma
BOS,Grant Williams,Marcus Smart
MEM,Kyle Anderson,Tyus Jones
CHI,Alex Caruso,Javonte Green
WAS,Aaron Holiday,Montrezl Harrell
CHI,Alex Caruso,Ayo Dosunmu
PHX,Jae Crowder,JaVale McGee
CHA,Cody Martin,Kelly Oubre
MIN,Jaden McDaniels,Patrick Beverley
UTA,Joe Ingles,Royce O'Neale
NO,Devonte Graham,Jaxson Hayes
SAC,Harrison Barnes,Tristan Thompson
SA,Devin Vassell,Lonnie Walker
SA,Jakob Poeltl,Thaddeus Young
NO,Nickeil Alexander-Walker,Tomas Satoransky
HOU,Alperen Sengun,Eric Gordon
UTA,Hassan Whiteside,Royce O'Neale
PHX,Landry Shamet,Mikal Bridges
OKC,Aaron Wiggins,Josh Giddey
MIL,George Hill,Grayson Allen
OKC,Darius Bazley,Derrick Favors
OKC,Kenrich Williams,Luguentz Dort
BKN,Blake Griffin,DeAndre Bembry
SA,Devin Vassell,Doug McDermott
OKC,Darius Bazley,Ty Jerome
HOU,Jae'Sean Tate,Kenyon Martin Jr.
UTA,Royce O'Neale,Rudy Gay
NO,Devonte Graham,Tomas Satoransky
MEM,Steven Adams,Tyus Jones
SAC,Alex Len,Harrison Barnes
ORL,Moritz Wagner,Wendell Carter
PHX,Cameron Johnson,Jae Crowder
SAC,Richaun Holmes,Tristan Thompson
NO,Garrett Temple,Josh Hart
SAC,Harrison Barnes,Marvin Bagley
BOS,Robert Williams,Romeo Langford
ORL,Chuma Okeke,Mychal Mulder
WAS,Davis Bertans,Spencer Dinwiddie
WAS,Daniel Gafford,Deni Avdija
CLE,Dylan Windler,Lauri Markkanen
MIN,Jarred Vanderbilt,Malik Beasley
MIN,Naz Reid,Patrick Beverley
MEM,Desmond Bane,John Konchar
SAC,Harrison Barnes,Maurice Harkless
SA,Devin Vassell,Drew Eubanks
HOU,Jalen Green,Kenyon Martin Jr.
CHA,Jalen McDaniels,Mason Plumlee
OKC,Aleksej Pokusevski,Luguentz Dort
ORL,Jalen Suggs,Moritz Wagner
BKN,Jevon Carter,LaMarcus Aldridge
UTA,Hassan Whiteside,Joe Ingles
WAS,Davis Bertans,Kyle Kuzma
PHI,Furkan Korkmaz,Matisse Thybulle
SAC,Alex Len,Richaun Holmes
IND,Chris Duarte,T.J. McConnell
MEM,John Konchar,Kyle Anderson
SAC,Tristan Thompson,Tyrese Haliburton
MEM,Desmond Bane,Xavier Tillman
SAC,Marvin Bagley,Richaun Holmes
BKN,James Johnson,LaMarcus Aldridge
WAS,Davis Bertans,Montrezl Harrell
OKC,Luguentz Dort,Mike Muscala
PHX,Cameron Payne,JaVale McGee
UTA,Joe Ingles,Rudy Gay
MEM,Kyle Anderson,Xavier Tillman
IND,Goga Bitadze,Myles Turner
PHI,Charles Bassey,Seth Curry
CLE,Dylan Windler,Kevin Love
SAC,Maurice Harkless,Richaun Holmes
ORL,Ignas Brazdeikis,Mo Bamba
MEM,Desmond Bane,Ziaire Williams
ORL,Mychal Mulder,Terrence Ross
UTA,Hassan Whiteside,Rudy Gay
HOU,D.J. Augustin,Kevin Porter
SA,Devin Vassell,Thaddeus Young
SAC,Alex Len,Tyrese Haliburton
MIL,George Hill,Pat Connaughton
BKN,Jevon Carter,Patrick Mills
MEM,Kyle Anderson,Ziaire Williams
SAC,Marvin Bagley,Tyrese Haliburton
PHX,Jae Crowder,Landry Shamet
WAS,Daniel Gafford,Raul Neto
CLE,Dylan Windler,Isaac Okoro
MEM,John Konchar,Steven Adams
OKC,Darius Bazley,Kenrich Williams
PHI,Charles Bassey,Georges Niang
BKN,James Johnson,Patrick Mills
NO,Josh Hart,Trey Murphy
PHX,Cameron Johnson,Cameron Payne
SA,Bryn Forbes,Keldon Johnson
SA,Doug McDermott,Lonnie Walker
SAC,Maurice Harkless,Tyrese Haliburton
WAS,Deni Avdija,Kentavious Caldwell-Pope
HOU,Eric Gordon,Kenyon Martin Jr.
BOS,Dennis Schroder,Romeo Langford
CHI,Derrick Jones,Tony Bradley
MEM,Steven Adams,Xavier Tillman
HOU,Alperen Sengun,Daniel Theis
NO,Garrett Temple,Nickeil Alexander-Walker
BOS,Marcus Smart,Romeo Langford
IND,Justin Holiday,T.J. McConnell
ATL,Delon Wright,Kevin Huerter
HOU,Danuel House,Kevin Porter
PHX,Cameron Johnson,JaVale McGee
CHA,Jalen McDaniels,Kelly Oubre
ATL,Kevin Huerter,Lou Williams
PHI,Matisse Thybulle,Shake Milton
IND,Caris LeVert,Goga Bitadze
MEM,Steven Adams,Ziaire Williams
IND,Chris Duarte,Justin Holiday
MIN,Patrick Beverley,Taurean Prince
NO,Devonte Graham,Garrett Temple
CHI,Coby White,Tony Bradley
SA,Drew Eubanks,Lonnie Walker
CLE,Denzel Valentine,Lauri Markkanen
OKC,Aleksej Pokusevski,Darius Bazley
ORL,Ignas Brazdeikis,Wendell Carter
BKN,LaMarcus Aldridge,Paul Millsap
OKC,Derrick Favors,Jeremiah Robinson-Earl
SA,Doug McDermott,Drew Eubanks
MEM,Jaren Jackson,Santi Aldama
HOU,Garrison Mathews,Kevin Porter
MIN,Jaden McDaniels,Jarred Vanderbilt
OKC,Darius Bazley,Mike Muscala
OKC,Jeremiah Robinson-Earl,Ty Jerome
CHI,Javonte Green,Tony Bradley
CHI,Ayo Dosunmu,Tony Bradley
SAC,Buddy Hield,Tristan Thompson
SA,Bryn Forbes,Derrick White
ORL,Ignas Brazdeikis,Jalen Suggs
PHX,Cameron Payne,Landry Shamet
OKC,Aaron Wiggins,Luguentz Dort
