Pos,Player,Team,Opp,Salary,Proj,Value,lookOpp,playerdata
QB,Zach Wilson,NYJ,@DEN,5000,13.8,2.8,DEN,"Zach Wilson
5000 13.8"
WR,Michael Pittman,IND,@TEN,5500,13.65,2.5,TEN,"Michael Pittman
5500 13.65"
RB,Myles Gaskin,MIA,@LV,5400,13.54,2.5,LV,"Myles Gaskin
5400 13.54"
RB,Clyde Edwards-Helaire,KC,LAC,4800,13.43,2.8,LAC,"Clyde Edwards-Helaire
4800 13.43"
WR,Kenny Golladay,NYG,ATL,5600,13.11,2.3,ATL,"Kenny Golladay
5600 13.11"
WR,Tee Higgins,CIN,@PIT,5100,13.03,2.6,PIT,"Tee Higgins
5100 13.03"
TE,Mark Andrews,BAL,@DET,5000,12.97,2.6,DET,"Mark Andrews
5000 12.97"
WR,Tyler Boyd,CIN,@PIT,4700,12.89,2.7,PIT,"Tyler Boyd
4700 12.89"
WR,JuJu Smith-Schuster,PIT,CIN,6000,12.85,2.1,CIN,"JuJu Smith-Schuster
6000 12.85"
RB,Mike Davis,ATL,@NYG,5100,12.85,2.5,NYG,"Mike Davis
5100 12.85"
RB,Ty'Son Williams,BAL,@DET,5800,12.65,2.2,DET,"Ty'Son Williams
5800 12.65"
TE,Kyle Pitts,ATL,@NYG,4900,12.5,2.6,NYG,"Kyle Pitts
4900 12.5"
RB,Damien Harris,NE,NO,5600,12.46,2.2,NO,"Damien Harris
5600 12.46"
WR,Rondale Moore,ARI,@JAX,5000,12.44,2.5,JAX,"Rondale Moore
5000 12.44"
RB,Leonard Fournette,TB,@LAR,5000,12.42,2.5,LAR,"Leonard Fournette
5000 12.42"
WR,Corey Davis,NYJ,@DEN,5000,12.37,2.5,DEN,"Corey Davis
5000 12.37"
WR,Cole Beasley,BUF,WAS,4800,12.32,2.6,WAS,"Cole Beasley
4800 12.32"
RB,Kareem Hunt,CLE,CHI,5600,12.04,2.1,CHI,"Kareem Hunt
5600 12.04"
WR,D.J. Chark,JAX,ARI,5300,12.01,2.3,ARI,"D.J. Chark
5300 12.01"
TE,Rob Gronkowski,TB,@LAR,5500,11.88,2.2,LAR,"Rob Gronkowski
5500 11.88"
RB,James White,NE,NO,4900,11.7,2.4,NO,"James White
4900 11.7"
WR,Darnell Mooney,CHI,@CLE,4300,11.66,2.7,CLE,"Darnell Mooney
4300 11.66"
WR,DeVante Parker,MIA,@LV,5400,11.65,2.2,LV,"DeVante Parker
5400 11.65"
WR,Jakobi Meyers,NE,NO,5000,11.6,2.3,NO,"Jakobi Meyers
5000 11.6"
WR,Henry Ruggs,LV,MIA,5200,11.48,2.2,MIA,"Henry Ruggs
5200 11.48"
RB,Devin Singletary,BUF,WAS,4900,11.39,2.3,WAS,"Devin Singletary
4900 11.39"
RB,Melvin Gordon,DEN,NYJ,5500,11.37,2.1,NYJ,"Melvin Gordon
5500 11.37"
RB,Darrell Henderson,LAR,TB,5900,11.29,1.9,TB,"Darrell Henderson
5900 11.29"
RB,Javonte Williams,DEN,NYJ,4900,11.11,2.3,NYJ,"Javonte Williams
4900 11.11"
TE,Noah Fant,DEN,NYJ,4800,11.03,2.3,NYJ,"Noah Fant
4800 11.03"
WR,Diontae Johnson,PIT,CIN,6400,10.92,1.7,CIN,"Diontae Johnson
6400 10.92"
WR,Jaylen Waddle,MIA,@LV,4600,10.89,2.4,LV,"Jaylen Waddle
4600 10.89"
WR,Sammy Watkins,BAL,@DET,5500,10.88,2,DET,"Sammy Watkins
5500 10.88"
RB,Jamaal Williams,DET,BAL,5100,10.88,2.1,BAL,"Jamaal Williams
5100 10.88"
WR,Emmanuel Sanders,BUF,WAS,4200,10.88,2.6,WAS,"Emmanuel Sanders
4200 10.88"
WR,Laviska Shenault,JAX,ARI,4400,10.84,2.5,ARI,"Laviska Shenault
4400 10.84"
RB,Kenyan Drake,LV,MIA,5500,10.83,2,MIA,"Kenyan Drake
5500 10.83"
WR,Christian Kirk,ARI,@JAX,5400,10.81,2,JAX,"Christian Kirk
5400 10.81"
WR,Nelson Agholor,NE,NO,4600,10.7,2.3,NO,"Nelson Agholor
4600 10.7"
WR,Zach Pascal,IND,@TEN,4800,10.51,2.2,TEN,"Zach Pascal
4800 10.51"
TE,Logan Thomas,WAS,@BUF,4700,10.49,2.2,BUF,"Logan Thomas
4700 10.49"
RB,Nyheim Hines,IND,@TEN,4600,10.41,2.3,TEN,"Nyheim Hines
4600 10.41"
WR,Quintez Cephus,DET,BAL,3900,10.37,2.7,BAL,"Quintez Cephus
3900 10.37"
WR,Will Fuller,MIA,@LV,4700,10.18,2.2,LV,"Will Fuller
4700 10.18"
WR,Tim Patrick,DEN,NYJ,4900,10.12,2.1,NYJ,"Tim Patrick
4900 10.12"
WR,Odell Beckham Jr.,CLE,CHI,5300,9.98,1.9,CHI,"Odell Beckham Jr.
5300 9.98"
WR,Darius Slayton,NYG,ATL,4600,9.97,2.2,ATL,"Darius Slayton
4600 9.97"
WR,Hunter Renfrow,LV,MIA,4000,9.9,2.5,MIA,"Hunter Renfrow
4000 9.9"
TE,Tyler Higbee,LAR,TB,4000,9.8,2.5,TB,"Tyler Higbee
4000 9.8"
WR,K.J. Osborn,MIN,SEA,3500,9.61,2.7,SEA,"K.J. Osborn
3500 9.61"
RB,J.D. McKissic,WAS,@BUF,5200,9.57,1.8,BUF,"J.D. McKissic
5200 9.57"
WR,Marquez Callaway,NO,@NE,4100,9.52,2.3,NE,"Marquez Callaway
4100 9.52"
RB,James Conner,ARI,@JAX,5000,9.33,1.9,JAX,"James Conner
5000 9.33"
TE,Jared Cook,LAC,@KC,3900,9.32,2.4,KC,"Jared Cook
3900 9.32"
WR,A.J. Green,ARI,@JAX,4500,9.1,2,JAX,"A.J. Green
4500 9.1"
WR,Mecole Hardman,KC,LAC,3900,8.99,2.3,LAC,"Mecole Hardman
3900 8.99"
TE,Austin Hooper,CLE,CHI,3600,8.93,2.5,CHI,"Austin Hooper
3600 8.93"
RB,Sony Michel,LAR,TB,4900,8.87,1.8,TB,"Sony Michel
4900 8.87"
RB,Cordarrelle Patterson,ATL,@NYG,4600,8.81,1.9,NYG,"Cordarrelle Patterson
4600 8.81"
RB,Josh Jacobs,LV,MIA,6200,8.77,1.4,MIA,"Josh Jacobs
6200 8.77"
WR,Elijah Moore,NYJ,@DEN,3800,8.62,2.3,DEN,"Elijah Moore
3800 8.62"
WR,Bryan Edwards,LV,MIA,3800,8.62,2.3,MIA,"Bryan Edwards
3800 8.62"
D,Broncos,DEN,NYJ,4300,8.59,2,NYJ,"Broncos
4300 8.59"
WR,Van Jefferson,LAR,TB,3400,8.41,2.5,TB,"Van Jefferson
3400 8.41"
RB,Latavius Murray,BAL,@DET,5300,8.37,1.6,DET,"Latavius Murray
5300 8.37"
TE,Jonnu Smith,NE,NO,4100,8.32,2,NO,"Jonnu Smith
4100 8.32"
TE,Cole Kmet,CHI,@CLE,3200,8.23,2.6,CLE,"Cole Kmet
3200 8.23"
WR,Rashard Higgins,CLE,CHI,4200,8.18,1.9,CHI,"Rashard Higgins
4200 8.18"
RB,Michael Carter,NYJ,@DEN,4600,8.14,1.8,DEN,"Michael Carter
4600 8.14"
D,Bills,BUF,WAS,3800,8.09,2.1,WAS,"Bills
3800 8.09"
D,Patriots,NE,NO,4100,8.07,2,NO,"Patriots
4100 8.07"
WR,Gabriel Davis,BUF,WAS,3700,8.06,2.2,WAS,"Gabriel Davis
3700 8.06"
WR,Jamison Crowder,NYJ,@DEN,4500,8.05,1.8,DEN,"Jamison Crowder
4500 8.05"
D,Steelers,PIT,CIN,3900,8.03,2.1,CIN,"Steelers
3900 8.03"
TE,Mike Gesicki,MIA,@LV,3800,8.02,2.1,LV,"Mike Gesicki
3800 8.02"
TE,Hunter Henry,NE,NO,3700,7.91,2.1,NO,"Hunter Henry
3700 7.91"
RB,Zack Moss,BUF,WAS,4700,7.87,1.7,WAS,"Zack Moss
4700 7.87"
D,Cardinals,ARI,@JAX,3000,7.78,2.6,JAX,"Cardinals
3000 7.78"
RB,Ronald Jones,TB,@LAR,4800,7.74,1.6,LAR,"Ronald Jones
4800 7.74"
TE,Evan Engram,NYG,ATL,3600,7.74,2.1,ATL,"Evan Engram
3600 7.74"
WR,Amon-Ra St. Brown,DET,BAL,3300,7.74,2.3,BAL,"Amon-Ra St. Brown
3300 7.74"
WR,Russell Gage,ATL,@NYG,4300,7.61,1.8,NYG,"Russell Gage
4300 7.61"
D,Ravens,BAL,@DET,3600,7.39,2.1,DET,"Ravens
3600 7.39"
WR,Deonte Harris,NO,@NE,3300,7.32,2.2,NE,"Deonte Harris
3300 7.32"
TE,Tyler Conklin,MIN,SEA,2900,7.29,2.5,SEA,"Tyler Conklin
2900 7.29"
WR,Braxton Berrios,NYJ,@DEN,3900,7.26,1.9,DEN,"Braxton Berrios
3900 7.26"
TE,Jack Doyle,IND,@TEN,3400,7.26,2.1,TEN,"Jack Doyle
3400 7.26"
D,Raiders,LV,MIA,3400,7.26,2.1,MIA,"Raiders
3400 7.26"
WR,Adam Humphries,WAS,@BUF,3700,7.18,1.9,BUF,"Adam Humphries
3700 7.18"
TE,Gerald Everett,SEA,@MIN,3000,7.16,2.4,MIN,"Gerald Everett
3000 7.16"
D,Browns,CLE,CHI,3200,7.15,2.2,CHI,"Browns
3200 7.15"
QB,Jacob Eason,IND,@TEN,4000,7.12,1.8,TEN,"Jacob Eason
4000 7.12"
WR,Scotty Miller,TB,@LAR,3100,7.04,2.3,LAR,"Scotty Miller
3100 7.04"
WR,Freddie Swain,SEA,@MIN,4000,7,1.8,MIN,"Freddie Swain
4000 7"
TE,Dawson Knox,BUF,WAS,3400,6.96,2,WAS,"Dawson Knox
3400 6.96"
WR,Kalif Raymond,DET,BAL,4000,6.85,1.7,BAL,"Kalif Raymond
4000 6.85"
WR,K.J. Hamler,DEN,NYJ,3600,6.85,1.9,NYJ,"K.J. Hamler
3600 6.85"
TE,Anthony Firkser,TEN,IND,3100,6.79,2.2,IND,"Anthony Firkser
3100 6.79"
D,Saints,NO,@NE,3100,6.53,2.1,NE,"Saints
3100 6.53"
D,Dolphins,MIA,@LV,2700,6.47,2.4,LV,"Dolphins
2700 6.47"
WR,Dyami Brown,WAS,@BUF,3600,6.39,1.8,BUF,"Dyami Brown
3600 6.39"
RB,Alexander Mattison,MIN,SEA,6000,6.36,1.1,SEA,"Alexander Mattison
6000 6.36"
D,Chiefs,KC,LAC,3100,6.36,2.1,LAC,"Chiefs
3100 6.36"
WR,Anthony Schwartz,CLE,CHI,3200,6.24,1.9,CHI,"Anthony Schwartz
3200 6.24"
RB,Ty Johnson,NYJ,@DEN,4300,6.22,1.4,DEN,"Ty Johnson
4300 6.22"
TE,David Njoku,CLE,CHI,3500,6.12,1.7,CHI,"David Njoku
3500 6.12"
D,Giants,NYG,ATL,3300,6.1,1.8,ATL,"Giants
3300 6.1"
TE,Juwan Johnson,NO,@NE,3300,6.08,1.8,NE,"Juwan Johnson
3300 6.08"
D,Bucs,TB,@LAR,3700,6.07,1.6,LAR,"Bucs
3700 6.07"
WR,Chester Rogers,TEN,IND,3000,6.01,2,IND,"Chester Rogers
3000 6.01"
D,Rams,LAR,TB,3500,5.96,1.7,TB,"Rams
3500 5.96"
TE,Maxx Williams,ARI,@JAX,3200,5.92,1.8,JAX,"Maxx Williams
3200 5.92"
TE,C.J. Uzomah,CIN,@PIT,2700,5.92,2.2,PIT,"C.J. Uzomah
2700 5.92"
D,Titans,TEN,IND,2400,5.87,2.4,IND,"Titans
2400 5.87"
D,Seahawks,SEA,@MIN,2800,5.85,2.1,MIN,"Seahawks
2800 5.85"
D,Washington,WAS,@BUF,2600,5.85,2.2,BUF,"Washington
2600 5.85"
TE,Hayden Hurst,ATL,@NYG,2800,5.83,2.1,NYG,"Hayden Hurst
2800 5.83"
D,Falcons,ATL,@NYG,2500,5.79,2.3,NYG,"Falcons
2500 5.79"
WR,Donovan Peoples-Jones,CLE,CHI,3000,5.74,1.9,CHI,"Donovan Peoples-Jones
3000 5.74"
RB,Darrel Williams,KC,LAC,4700,5.72,1.2,LAC,"Darrel Williams
4700 5.72"
WR,James Washington,PIT,CIN,4000,5.65,1.4,CIN,"James Washington
4000 5.65"
D,Colts,IND,@TEN,2700,5.57,2.1,TEN,"Colts
2700 5.57"
WR,Demarcus Robinson,KC,LAC,4100,5.54,1.4,LAC,"Demarcus Robinson
4100 5.54"
TE,Adam Trautman,NO,@NE,2900,5.5,1.9,NE,"Adam Trautman
2900 5.5"
TE,Eric Ebron,PIT,CIN,3300,5.45,1.7,CIN,"Eric Ebron
3300 5.45"
D,Vikings,MIN,SEA,2900,5.43,1.9,SEA,"Vikings
2900 5.43"
WR,Jalen Guyton,LAC,@KC,3200,5.39,1.7,KC,"Jalen Guyton
3200 5.39"
D,Bears,CHI,@CLE,3000,5.36,1.8,CLE,"Bears
3000 5.36"
TE,Albert Okwuegbunam,DEN,NYJ,3000,5.35,1.8,NYJ,"Albert Okwuegbunam
3000 5.35"
RB,Damien Williams,CHI,@CLE,4300,5.28,1.2,CLE,"Damien Williams
4300 5.28"
WR,Olamide Zaccheaus,ATL,@NYG,3500,5.21,1.5,NYG,"Olamide Zaccheaus
3500 5.21"
RB,Giovani Bernard,TB,@LAR,4200,5.18,1.2,LAR,"Giovani Bernard
4200 5.18"
RB,Carlos Hyde,JAX,ARI,4000,5.18,1.3,ARI,"Carlos Hyde
4000 5.18"
TE,Pat Freiermuth,PIT,CIN,3000,5.14,1.7,CIN,"Pat Freiermuth
3000 5.14"
WR,DeSean Jackson,LAR,TB,3000,5.11,1.7,TB,"DeSean Jackson
3000 5.11"
WR,Marquise Goodwin,CHI,@CLE,3200,5.05,1.6,CLE,"Marquise Goodwin
3200 5.05"
