"Pos","Player","Team","Opp","Salary","Proj","Value"
"RB","Rhamondre Stevenson","NE","@MIA",5500,9.25,1.7
"RB","Nyheim Hines","IND","@HOU",5100,9.04,1.8
"RB","J.D. McKissic","WAS","JAX",5100,8.94,1.8
"RB","Michael Carter","NYJ","BAL",5100,8.87,1.7
"WR","Robbie Anderson","CAR","CLE",4800,8.81,1.8
"RB","Mike Davis","BAL","@NYJ",4400,8.78,2
"TE","Pat Freiermuth","PIT","@CIN",4200,8.7,2.1
"WR","Sammy Watkins","GB","@MIN",4700,8.57,1.8
"TE","Cole Kmet","CHI","SF",3700,8.51,2.3
"TE","David Njoku","CLE","@CAR",3900,8.49,2.2
"WR","Randall Cobb","GB","@MIN",3400,8.47,2.5
"WR","Sterling Shepard","NYG","@TEN",4900,8.41,1.7
"TE","Hunter Henry","NE","@MIA",3800,8.41,2.2
"TE","Irv Smith","MIN","GB",3400,8.4,2.5
"WR","Wan'Dale Robinson","NYG","@TEN",3000,8.36,2.8
"WR","Donovan Peoples-Jones","CLE","@CAR",4400,8.3,1.9
"WR","Parris Campbell","IND","@HOU",3300,8.27,2.5
"TE","Mike Gesicki","MIA","NE",4800,8.18,1.7
"TE","Gerald Everett","LAC","LV",3800,8.08,2.1
"TE","Austin Hooper","TEN","NYG",3700,7.97,2.2
"D","Browns","CLE","@CAR",3800,7.92,2.1
"WR","Treylon Burks","TEN","NYG",5000,7.89,1.6
"RB","Rex Burkhead","HOU","IND",4900,7.85,1.6
"WR","Zay Jones","JAX","@WAS",4100,7.85,1.9
"D","Titans","TEN","NYG",3500,7.8,2.2
"WR","Alec Pierce","IND","@HOU",3900,7.67,2
"WR","Nick Westbrook-Ikhine","TEN","NYG",4800,7.65,1.6
"D","Colts","IND","@HOU",3900,7.63,2
"RB","Jamaal Williams","DET","PHI",5200,7.62,1.5
"WR","Curtis Samuel","WAS","JAX",4200,7.61,1.8
"D","Ravens","BAL","@NYJ",4000,7.54,1.9
"TE","Evan Engram","JAX","@WAS",3500,7.5,2.1
"D","Bengals","CIN","PIT",3600,7.47,2.1
"WR","Devin Duvernay","BAL","@NYJ",3800,7.41,2
"TE","Robert Tonyan","GB","@MIN",3900,7.36,1.9
"D","Saints","NO","@ATL",3700,7.36,2
"D","Washington","WAS","JAX",2500,7.36,2.9
"RB","James Robinson","JAX","@WAS",5600,7.31,1.3
"WR","Garrett Wilson","NYJ","BAL",4700,7.31,1.6
"WR","Skyy Moore","KC","@ARI",3800,7.22,1.9
"WR","K.J. Osborn","MIN","GB",4900,7.2,1.5
"WR","Josh Palmer","LAC","LV",3800,7.15,1.9
