"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Brandon Nimmo","OF","NYM",3600,7.64,2.1,"OF","","OF","PHI - Nola ( R )"
"Andrew Benintendi","OF","KC",3300,7.63,2.3,"OF","","OF","SEA - Kikuchi ( L )"
"Jorge Soler","OF","ATL",3700,7.61,2.1,"OF","","OF","@SF - Wood ( L )"
"Matt Chapman","3B","OAK",5500,7.59,1.4,"3B","","3B","@LAA - Suarez ( L )"
"Josh Harrison","2B","OAK",5000,7.53,1.5,"2B","","2B","@LAA - Suarez ( L )"
"Adam Duvall","OF","ATL",4100,7.53,1.8,"OF","","OF","@SF - Wood ( L )"
"Kris Bryant","3B/OF","SF",4500,7.51,1.7,"3B/OF","OF","3B","ATL - Morton ( R )"
"Brandon Crawford","SS","SF",6000,7.46,1.2,"SS","","SS","ATL - Morton ( R )"
"Daulton Varsho","C/OF","ARI",5200,7.46,1.4,"C/OF","OF","C","@HOU - McCullers ( R )"
"LaMonte Wade Jr.","OF","SF",4700,7.45,1.6,"OF","","OF","ATL - Morton ( R )"
"Humberto Castellanos","P","ARI",5300,7.4,1.4,"P","","P","@HOU - McCullers ( R )"
"Wil Myers","OF","SD",3600,7.36,2,"OF","","OF","@STL - Wainwright ( R )"
"Evan Longoria","3B","SF",3900,7.35,1.9,"3B","","3B","ATL - Morton ( R )"
"Andrew McCutchen","OF","PHI",3700,7.35,2,"OF","","OF","@NYM - Carrasco ( R )"
"Brian Goodwin","OF","CWS",2800,7.35,2.6,"OF","","OF","@TEX - Howard ( R )"
"Pablo Reyes","3B","MIL",2600,7.32,2.8,"3B","","3B","CHC - Steele ( L )"
"Jarred Kelenic","OF","SEA",3400,7.27,2.1,"OF","","OF","@KC - Bubic ( L )"
"David Fletcher","2B","LAA",3300,7.2,2.2,"2B","","2B","OAK - Jefferies ( R )"
"Trent Grisham","OF","SD",4200,7.19,1.7,"OF","","OF","@STL - Wainwright ( R )"
"Jonathan Villar","3B","NYM",3800,7.19,1.9,"3B","","3B","PHI - Nola ( R )"
"Abraham Toro","2B","SEA",4900,7.18,1.5,"2B","","2B","@KC - Bubic ( L )"
"Dylan Moore","OF","SEA",3800,7.18,1.9,"OF","","OF","@KC - Bubic ( L )"
"Carlos Santana","1B","KC",2600,7.18,2.8,"1B","","1B","SEA - Kikuchi ( L )"
"Brad Miller","1B","PHI",3600,7.17,2,"1B","","1B","@NYM - Carrasco ( R )"
"Nate Lowe","1B","TEX",4900,7.15,1.5,"1B","","1B","CWS - Lynn ( R )"
"Jean Segura","2B","PHI",4500,7.15,1.6,"2B","","2B","@NYM - Carrasco ( R )"
"Tommy Pham","OF","SD",4200,7.14,1.7,"OF","","OF","@STL - Wainwright ( R )"
"Buster Posey","C","SF",4700,7.04,1.5,"C","","C","ATL - Morton ( R )"
"Josh Rojas","2B/OF","ARI",3900,7.04,1.8,"2B/OF","OF","2B","@HOU - McCullers ( R )"
"Dansby Swanson","SS","ATL",3900,7.02,1.8,"SS","","SS","@SF - Wood ( L )"
"Chas McCormick","OF","HOU",2000,6.95,3.5,"OF","","OF","ARI - Castellanos ( R )"
"Leury Garcia","SS","CWS",3300,6.94,2.1,"SS","","SS","@TEX - Howard ( R )"
"Travis d'Arnaud","C","ATL",3800,6.93,1.8,"C","","C","@SF - Wood ( L )"
"Michael Conforto","OF","NYM",3200,6.92,2.2,"OF","","OF","PHI - Nola ( R )"
"Isiah Kiner-Falefa","SS","TEX",3900,6.87,1.8,"SS","","SS","CWS - Lynn ( R )"
"Eddie Rosario","OF","ATL",2400,6.85,2.9,"OF","","OF","@SF - Wood ( L )"
"Odubel Herrera","OF","PHI",4200,6.81,1.6,"OF","","OF","@NYM - Carrasco ( R )"
"Adam Frazier","2B","SD",3300,6.8,2.1,"2B","","2B","@STL - Wainwright ( R )"
