"Pos","Player","Team","Opp","Salary","Proj","Value"
"RB","Jacques Patrick","SF","SEA",5200,1.56,0.3
"WR","Mike Strachan","IND","@MIA",4600,1.52,0.3
"RB","Ty Montgomery","NO","NYG",4600,1.45,0.3
"TE","Kaden Smith","NYG","@NO",4100,1.39,0.3
"WR","Jauan Jennings","SF","SEA",4600,1.34,0.3
"TE","Marcedes Lewis","GB","PIT",4100,1.34,0.3
"TE","Ricky Seals-Jones","WAS","@ATL",4400,1.27,0.3
"RB","Boston Scott","PHI","KC",4500,1.26,0.3
"RB","Jerick McKinnon","KC","@PHI",4600,1.24,0.3
"RB","Gary Brightwell","NYG","@NO",4600,1.19,0.3
